price,predicted_price,difference,link,source
820000.0,372387.5986248858,447612.4013751142,https://www.propertyguru.com.sg/listing/hdb-for-sale-58-stirling-road-22120040,Property Guru
820000.0,375782.21176019835,444217.78823980165,https://www.99.co/singapore/sale/property/58-stirling-road-hdb-QNZuEdHumgUGY92Kmtdph8?enquiry_position=3649&enquiry_source=Search,Co 99
1000000.0,558760.7925088557,441239.2074911443,https://www.propertyguru.com.sg/listing/hdb-for-sale-361-hougang-avenue-5-21317317,Property Guru
1500000.0,1061111.2437683116,438888.7562316884,https://www.99.co/singapore/sale/property/1d-cantonment-road-hdb-k3WqXxcug3tBZnyeGDZM44?enquiry_position=1955&enquiry_source=Search,Co 99
1250000.0,811743.7083556879,438256.2916443121,https://www.propertyguru.com.sg/listing/hdb-for-sale-pinnacle-duxton-22732418,Property Guru
1250000.0,811743.7083556879,438256.2916443121,https://www.propertyguru.com.sg/listing/hdb-for-sale-pinnacle-duxton-22821330,Property Guru
1238888.0,801746.726945337,437141.273054663,https://www.propertyguru.com.sg/listing/hdb-for-sale-pinnacle-duxton-22786969,Property Guru
845000.0,409157.1315338414,435842.8684661586,https://www.propertyguru.com.sg/listing/hdb-for-sale-807-chai-chee-road-22982452,Property Guru
1250000.0,816414.5093080496,433585.4906919504,https://www.propertyguru.com.sg/listing/hdb-for-sale-pinnacle-duxton-22288280,Property Guru
1150000.0,716741.7373355357,433258.2626644643,https://www.propertyguru.com.sg/listing/hdb-for-sale-pinnacle-duxton-21370106,Property Guru
1000000.0,567035.3971715672,432964.6028284328,https://www.99.co/singapore/sale/property/361-hougang-avenue-5-hdb-YbmcXmE3aJFr2GyNbyN3bL?enquiry_position=2338&enquiry_source=Search,Co 99
1218000.0,790067.1118111891,427932.8881888109,https://www.propertyguru.com.sg/listing/hdb-for-sale-pinnacle-duxton-22997718,Property Guru
1218000.0,790067.1118111891,427932.8881888109,https://www.propertyguru.com.sg/listing/hdb-for-sale-pinnacle-duxton-23002691,Property Guru
