address,link,price,bedrooms,bathrooms,floor_area,year_built,date_scraped
895A Tampines Street 81,https://www.99.co/singapore/sale/property/895a-tampines-street-81-hdb-4ErNvT7mSoKBiTCiBARYB3?enquiry_position=4237&enquiry_source=Search,"$700,000",4,2,145.95,1988,2020-07-18 17:01:43.228176
664A Punggol Drive,https://www.99.co/singapore/sale/property/664a-punggol-drive-hdb-NPA5Pfs6aaxRFFEYGZRAvg?enquiry_position=4238&enquiry_source=Search,"$435,000",3,2,90.02,,2020-07-18 17:01:43.228176
637 Yishun Street 61,https://www.99.co/singapore/sale/property/637-yishun-street-61-hdb-YARyuxdxJ3JkuJcmP4wMte?enquiry_position=4239&enquiry_source=Search,"$480,000",3,2,121.98,1987,2020-07-18 17:01:43.228176
32 Holland Close,https://www.99.co/singapore/sale/property/32-holland-close-hdb-cRwWJ7m8cjaBapSye76Gxh?enquiry_position=4240&enquiry_source=Search,"$330,000",2,2,58.99,1974,2020-07-18 17:01:43.228176
523 Ang Mo Kio Avenue 5,https://www.99.co/singapore/sale/property/523-ang-mo-kio-avenue-5-hdb-4A6hX25jkAiHw6KGeVSVhH?enquiry_position=4241&enquiry_source=Search,"$458,000",3,2,92.99,1980,2020-07-18 17:01:43.228176
542 Hougang Avenue 8,https://www.99.co/singapore/sale/property/542-hougang-avenue-8-hdb-Se2HNqE5GoyMixa5BREXv5?enquiry_position=4242&enquiry_source=Search,"$400,000",3,2,103.95,1992,2020-07-18 17:01:43.228176
122 Hougang Avenue 1,https://www.99.co/singapore/sale/property/122-hougang-avenue-1-hdb-hX2H7vYGy4HLbVC6YWXeMD?enquiry_position=4243&enquiry_source=Search,"$710,000",3,2,133.03,1983,2020-07-18 17:01:43.228176
270 Tampines Street 21,https://www.99.co/singapore/sale/property/270-tampines-street-21-hdb-DQqbztRpWXtUsGThpLxrJB?enquiry_position=4244&enquiry_source=Search,"$435,000",3,2,104.98,1985,2020-07-18 17:01:43.228176
56 Havelock Road,https://www.99.co/singapore/sale/property/56-havelock-road-hdb-b5UdK3e6gj3ubJiC8aEyJR?enquiry_position=4245&enquiry_source=Search,"$930,000",3,2,113.99,2013,2020-07-18 17:01:43.228176
245 Simei Street 5,https://www.99.co/singapore/sale/property/245-simei-street-5-hdb-wSTmQg29LzBLS5xKTAJmxG?enquiry_position=4246&enquiry_source=Search,"$505,000",3,2,104.98,1997,2020-07-18 17:01:43.228176
95 Old Airport Road,https://www.99.co/singapore/sale/property/95-old-airport-road-hdb-XDARA8CgkJqJnS3WoEXATQ?enquiry_position=4247&enquiry_source=Search,"$250,000",2,1,56.02,1969,2020-07-18 17:01:43.228176
208 Boon Lay Place,https://www.99.co/singapore/sale/property/208-boon-lay-place-hdb-yMMq3wXfgwZZmDnWWa7hDK?enquiry_position=4248&enquiry_source=Search,"$230,000",2,2,64.93,1976,2020-07-18 17:01:43.228176
705 Hougang Avenue 2,https://www.99.co/singapore/sale/property/705-hougang-avenue-2-hdb-jPhBCTb9on6dSQhtDFuaDi?enquiry_position=4249&enquiry_source=Search,"$658,000",4,2,154.03,1986,2020-07-18 17:01:43.228176
252 Pasir Ris Street 21,https://www.99.co/singapore/sale/property/252-pasir-ris-street-21-hdb-urBsTfy3rSfvSAvAVuvK8f?enquiry_position=4250&enquiry_source=Search,"$499,999",4,2,128.02,1993,2020-07-18 17:01:43.228176
808C Chai Chee Road,https://www.99.co/singapore/sale/property/808c-chai-chee-road-hdb-z74eorq35NgYvNjawKLok3?enquiry_position=4251&enquiry_source=Search,"$660,000",3,2,87.97,,2020-07-18 17:01:43.228176
412 Woodlands Street 41,https://www.99.co/singapore/sale/property/412-woodlands-street-41-hdb-Bq78tesj36Ki53vzk23eTR?enquiry_position=4252&enquiry_source=Search,"$688,000",4,2,161.92,1995,2020-07-18 17:01:43.228176
98 Lorong 1 Toa Payoh,https://www.99.co/singapore/sale/property/98-lorong-1-toa-payoh-hdb-YeoWR5YSAWibrBh4Bj7whD?enquiry_position=4253&enquiry_source=Search,"$300,000",2,1,66.98,1970,2020-07-18 17:01:43.228176
513 Bedok North Avenue 2,https://www.99.co/singapore/sale/property/513-bedok-north-avenue-2-hdb-EUczUm7DpPbRuvypUrttSF?enquiry_position=4254&enquiry_source=Search,"$420,000",3,2,91.97,1979,2020-07-18 17:01:43.228176
3 Saint George's Road,https://www.99.co/singapore/sale/property/3-saint-georges-road-hdb-ccNkFbWh9sXXk83nsVvFUZ?enquiry_position=4255&enquiry_source=Search,"$300,000",2,1,58.99,1976,2020-07-18 17:01:43.228176
195 Kim Keat Avenue,https://www.99.co/singapore/sale/property/195-kim-keat-avenue-hdb-QcHPpdVFXeEvGYQjW9AiAm?enquiry_position=4256&enquiry_source=Search,"$250,000",2,1,65.96,1973,2020-07-18 17:01:43.228176
19 Ghim Moh Road,https://www.99.co/singapore/sale/property/19-ghim-moh-road-hdb-d6TwLRMwx33VtvBJ8s29ad?enquiry_position=4257&enquiry_source=Search,"$358,000",2,2,75.99,1977,2020-07-18 17:01:43.228176
156 Simei Road,https://www.99.co/singapore/sale/property/156-simei-road-hdb-gAchBsiERMLeAbUPxHbGPM?enquiry_position=4258&enquiry_source=Search,"$448,000",3,2,103.95,1989,2020-07-18 17:01:43.228176
114 Depot Road,https://www.99.co/singapore/sale/property/114-depot-road-hdb-5RS527mSyt7X9wyzwK4pGg?enquiry_position=4259&enquiry_source=Search,"$650,000",3,2,116.96,1976,2020-07-18 17:01:43.228176
668A Jurong West Street 64,https://www.99.co/singapore/sale/property/668a-jurong-west-street-64-hdb-5bTX8fL7DesgyA8cF6xttT?enquiry_position=4261&enquiry_source=Search,"$400,000",3,2,85.93,2000,2020-07-18 17:01:43.228176
202 Clementi Avenue 6,https://www.99.co/singapore/sale/property/202-clementi-avenue-6-hdb-46oFcFSW2gG2VE5kZk9cRT?enquiry_position=4262&enquiry_source=Search,"$480,000",3,2,92.99,1985,2020-07-18 17:01:43.228176
181 Bedok North Road,https://www.99.co/singapore/sale/property/181-bedok-north-road-hdb-LPgsGMXJppJw4Roux7QTcf?enquiry_position=4263&enquiry_source=Search,"$750,000",3,2,109.99,2006,2020-07-18 17:01:43.228176
14 Bedok South Avenue 2,https://www.99.co/singapore/sale/property/14-bedok-south-avenue-2-hdb-m7duesh4kMQ7YTpd35c5gf?enquiry_position=4264&enquiry_source=Search,"$738,000",4,2,130.99,1995,2020-07-18 17:01:43.228176
24 Balam Road,https://www.99.co/singapore/sale/property/24-balam-road-hdb-PsTh4WqDhSzfGgsJKdNAZ4?enquiry_position=4265&enquiry_source=Search,"$220,000",2,1,59.92,1967,2020-07-18 17:01:43.228176
477A Upper Serangoon View,https://www.99.co/singapore/sale/property/477a-upper-serangoon-view-hdb-yey5b6hTb2NwP5qLeKYNy7?enquiry_position=4266&enquiry_source=Search,"$520,000",3,2,91.97,2016,2020-07-18 17:01:43.228176
146 Simei Street 2,https://www.99.co/singapore/sale/property/146-simei-street-2-hdb-hKxC5x8fb6ZN8AV5vwk57Q?enquiry_position=4267&enquiry_source=Search,"$430,000",3,2,103.95,1988,2020-07-18 17:01:43.228176
8 Jalan Kukoh,https://www.99.co/singapore/sale/property/8-jalan-kukoh-hdb-QRpR5b5U3zPZzPxTSCaUN9?enquiry_position=4268&enquiry_source=Search,"$265,000",2,2,54.06,1971,2020-07-18 17:01:43.228176
665A Punggol Drive,https://www.99.co/singapore/sale/property/665a-punggol-drive-hdb-F5jrMHXAFKUsAT4zhSQJaP?enquiry_position=4269&enquiry_source=Search,"$670,000",3,2,112.97,,2020-07-18 17:01:43.228176
24 Balam Road,https://www.99.co/singapore/sale/property/24-balam-road-hdb-7XrhPnVbKzU3FnfZF2e5KV?enquiry_position=4270&enquiry_source=Search,"$228,000",2,1,59.92,1967,2020-07-18 17:01:43.228176
419 Bukit Batok West Avenue 2,https://www.99.co/singapore/sale/property/419-bukit-batok-west-avenue-2-hdb-P7y3hG2qYEqrwXnTytSMFa?enquiry_position=4271&enquiry_source=Search,"$340,000",3,2,82.96,1986,2020-07-18 17:01:43.228176
716 Bedok Reservoir Road,https://www.99.co/singapore/sale/property/716-bedok-reservoir-road-hdb-FHG7JuckhJVScTxR7ZxoJg?enquiry_position=4272&enquiry_source=Search,"$720,000",3,3,146.97,1984,2020-07-18 17:01:43.228176
522 Hougang Avenue 6,https://www.99.co/singapore/sale/property/522-hougang-avenue-6-hdb-ArPJ9cjD3eGpRVqioe7SX7?enquiry_position=4273&enquiry_source=Search,"$738,888",3,3,144.92,1987,2020-07-18 17:01:43.228176
145 Potong Pasir Avenue 2,https://www.99.co/singapore/sale/property/145-potong-pasir-avenue-2-hdb-gJTPFTp77ANFAPas8xFgJL?enquiry_position=4274&enquiry_source=Search,"$408,000",2,2,73.95,1984,2020-07-18 17:01:43.228176
228 Pasir Ris Street 21,https://www.99.co/singapore/sale/property/228-pasir-ris-street-21-hdb-DQ73TM4mgUfQRq487mHqE5?enquiry_position=4275&enquiry_source=Search,"$475,000",3,2,125.97,1993,2020-07-18 17:01:43.228176
471A Upper Serangoon Crescent,https://www.99.co/singapore/sale/property/471a-upper-serangoon-crescent-hdb-Pfu6sdHgNPHAVefpshQS9J?enquiry_position=4276&enquiry_source=Search,"$444,888",3,2,94.94,2015,2020-07-18 17:01:43.228176
488D Choa Chu Kang Avenue 5,https://www.99.co/singapore/sale/property/488d-choa-chu-kang-avenue-5-hdb-Sjjngi89AUbVdRUfLCeiaA?enquiry_position=4277&enquiry_source=Search,"$459,999",3,2,92.99,,2020-07-18 17:01:43.228176
527D Pasir Ris Street 51,https://www.99.co/singapore/sale/property/527d-pasir-ris-street-51-hdb-We3jFZvVWLfYE5GjBMLYo5?enquiry_position=4278&enquiry_source=Search,"$295,000",1,1,46.91,2015,2020-07-18 17:01:43.228176
414 Ang Mo Kio Avenue 10,https://www.99.co/singapore/sale/property/414-ang-mo-kio-avenue-10-hdb-Ex68CQpHozuUjNpVAdLWx8?enquiry_position=4280&enquiry_source=Search,"$375,000",3,2,90.95,1979,2020-07-18 17:01:43.228176
471B Fernvale Street,https://www.99.co/singapore/sale/property/471b-fernvale-street-hdb-FcKNrHajX5t4kVaQ58sty?enquiry_position=4281&enquiry_source=Search,"$590,000",3,2,112.97,,2020-07-18 17:01:43.228176
863 Tampines Street 83,https://www.99.co/singapore/sale/property/863-tampines-street-83-hdb-LjxkBarCPHtYDPowYU3Kdm?enquiry_position=4282&enquiry_source=Search,"$688,000",4,2,145.95,1988,2020-07-18 17:01:43.228176
310A Punggol Walk,https://www.99.co/singapore/sale/property/310a-punggol-walk-hdb-SnrUENjrTErtsEgYzVWYgW?enquiry_position=4283&enquiry_source=Search,"$768,000",3,2,112.04,,2020-07-18 17:01:43.228176
53 Geylang Bahru,https://www.99.co/singapore/sale/property/53-geylang-bahru-hdb-ZjyBKRVxpmNuroEEZwfNaX?enquiry_position=4285&enquiry_source=Search,"$610,000",3,2,116.96,1974,2020-07-18 17:01:43.228176
3 Dover Road,https://www.99.co/singapore/sale/property/3-dover-road-hdb-wPacSg2h6GditP4o24MkJZ?enquiry_position=4286&enquiry_source=Search,"$320,000",2,1,64.93,1975,2020-07-18 17:01:43.228176
520B Tampines Central 8,https://www.99.co/singapore/sale/property/520b-tampines-central-8-hdb-MboYtFQF2YznYVegTxcNcT?enquiry_position=4287&enquiry_source=Search,"$815,000",3,2,107.95,2014,2020-07-18 17:01:43.228176
183C Rivervale Crescent,https://www.99.co/singapore/sale/property/183c-rivervale-crescent-hdb-PR49i5umLVkcSrUmHUepxT?enquiry_position=4288&enquiry_source=Search,"$440,000",3,2,109.99,2003,2020-07-18 17:01:43.228176
232 Tampines Street 21,https://www.99.co/singapore/sale/property/232-tampines-street-21-hdb-oExtRtFsaFmqyBccuSBsCH?enquiry_position=4289&enquiry_source=Search,"$560,000",3,2,124.95,1985,2020-07-18 17:01:43.228176
469C Sengkang West Way,https://www.99.co/singapore/sale/property/469c-sengkang-west-way-hdb-ApKd7R6zkaxV9YHssMpWyP?enquiry_position=4290&enquiry_source=Search,"$567,000",3,2,9.94,,2020-07-18 17:01:43.228176
2 Beach Road,https://www.99.co/singapore/sale/property/2-beach-road-hdb-kKyYqNDc3XRHjHrUMtpEv?enquiry_position=4291&enquiry_source=Search,"$330,000",3,2,63.91,1979,2020-07-18 17:01:43.228176
417 Hougang Avenue 8,https://www.99.co/singapore/sale/property/417-hougang-avenue-8-hdb-HQVSTZiiLNsuSR2NkFsP28?enquiry_position=4292&enquiry_source=Search,"$415,000",3,2,104.98,1989,2020-07-18 17:01:43.228176
760 Yishun Street 72,https://www.99.co/singapore/sale/property/760-yishun-street-72-hdb-8Lkp5SLoLTAa25uyeuHXBX?enquiry_position=4293&enquiry_source=Search,"$328,888",3,2,81.94,1987,2020-07-18 17:01:43.228176
224 Pasir Ris Street 21,https://www.99.co/singapore/sale/property/224-pasir-ris-street-21-hdb-bhiLF9HZqvkAVLujuHK47o?enquiry_position=4294&enquiry_source=Search,"$598,000",4,2,146.97,1993,2020-07-18 17:01:43.228176
678B Punggol Drive,https://www.99.co/singapore/sale/property/678b-punggol-drive-hdb-E8cLANEB3SJV3MKzJrJ5mY?enquiry_position=4295&enquiry_source=Search,"$620,000",4,2,112.97,,2020-07-18 17:01:43.228176
459 Clementi Avenue 3,https://www.99.co/singapore/sale/property/459-clementi-avenue-3-hdb-CpjfkVDkzJcqMLLDAB3kpS?enquiry_position=4296&enquiry_source=Search,"$790,000",2,2,109.99,2002,2020-07-18 17:01:43.228176
260C Punggol Way,https://www.99.co/singapore/sale/property/260c-punggol-way-hdb-KugL4iNz83KXSPaoavAJFf?enquiry_position=4297&enquiry_source=Search,"$495,000",3,2,92.99,,2020-07-18 17:01:43.228176
81B Lorong 4 Toa Payoh,https://www.99.co/singapore/sale/property/81b-lorong-4-toa-payoh-hdb-VaxDgmaH8UXpVtqWjhkmn5?enquiry_position=4298&enquiry_source=Search,"$890,000",3,2,121.98,1997,2020-07-18 17:01:43.228176
208 Petir Road,https://www.99.co/singapore/sale/property/208-petir-road-hdb-ieAWdqMDcSVryid7XVFube?enquiry_position=4299&enquiry_source=Search,"$359,000",3,2,83.89,1988,2020-07-18 17:01:43.228176
3 Beach Road,https://www.99.co/singapore/sale/property/3-beach-road-hdb-7pzUXUbprevfpSiYxDVosX?enquiry_position=4300&enquiry_source=Search,"$358,000",2,2,67.91,1979,2020-07-18 17:01:43.228176
119C Kim Tian Road,https://www.99.co/singapore/sale/property/119c-kim-tian-road-hdb-Z4MThdzgtnAtxVxPQpJGed?enquiry_position=4301&enquiry_source=Search,"$827,777",5,5,109.99,2003,2020-07-18 17:01:43.228176
525B Pasir Ris Street 51,https://www.99.co/singapore/sale/property/525b-pasir-ris-street-51-hdb-JwnKMsp8uYXjHGjmLnwJ77?enquiry_position=4302&enquiry_source=Search,"$660,000",4,2,112.97,2015,2020-07-18 17:01:43.228176
126 Bedok North Street 2,https://www.99.co/singapore/sale/property/126-bedok-north-street-2-hdb-TjJ8ofttSasKCJtafgzAK6?enquiry_position=4303&enquiry_source=Search,"$320,000",2,2,66.98,1978,2020-07-18 17:01:43.228176
842 Tampines Street 82,https://www.99.co/singapore/sale/property/842-tampines-street-82-hdb-JWL9Q4MgQhx7As6bBpJtoD?enquiry_position=4304&enquiry_source=Search,"$400,000",3,2,83.98,1986,2020-07-18 17:01:43.228176
153 Bishan Street 13,https://www.99.co/singapore/sale/property/153-bishan-street-13-hdb-P8zSWUtNw6ryDteuFCAu4?enquiry_position=4305&enquiry_source=Search,"$660,000",4,2,120.95,1987,2020-07-18 17:01:43.228176
428B Yishun Avenue 11,https://www.99.co/singapore/sale/property/428b-yishun-avenue-11-hdb-qrNnW8uvQ2kTgc9MKD43m7?enquiry_position=4306&enquiry_source=Search,"$430,000",3,2,967.95,2015,2020-07-18 17:01:43.228176
275 Bangkit Road,https://www.99.co/singapore/sale/property/275-bangkit-road-hdb-LDzThdYkFiiu5XFgu9nPbJ?enquiry_position=4307&enquiry_source=Search,"$338,000",3,2,83.98,1988,2020-07-18 17:01:43.228176
747 Pasir Ris Street 71,https://www.99.co/singapore/sale/property/747-pasir-ris-street-71-hdb-Hvaxm9Sj4sVzhLdUt4ninD?enquiry_position=4308&enquiry_source=Search,"$488,000",2,1,125.97,1996,2020-07-18 17:01:43.228176
272C Sengkang Central,https://www.99.co/singapore/sale/property/272c-sengkang-central-hdb-oiHWexJTYA4LeGphef25Je?enquiry_position=4309&enquiry_source=Search,"$550,000",3,2,89.93,2009,2020-07-18 17:01:43.228176
181 Bishan Street 13,https://www.99.co/singapore/sale/property/181-bishan-street-13-hdb-Xsxzs3GfA4dY3ffexDcBpQ?enquiry_position=4310&enquiry_source=Search,"$795,000",4,2,120.95,1987,2020-07-18 17:01:43.228176
171 Bishan Street 13,https://www.99.co/singapore/sale/property/171-bishan-street-13-hdb-KXYrcfyNoGgHzcXTosqVg6?enquiry_position=4311&enquiry_source=Search,"$458,000",2,2,63.91,1988,2020-07-18 17:01:43.228176
5 Marine Terrace,https://www.99.co/singapore/sale/property/5-marine-terrace-hdb-hadBRnK6EJuhHFAnEuHHmd?enquiry_position=4312&enquiry_source=Search,"$359,000",2,2,64.93,1975,2020-07-18 17:01:43.228176
89 Dawson Road,https://www.99.co/singapore/sale/property/89-dawson-road-hdb-4dVG6waMUBAUbzE4F7S5P8?enquiry_position=4313&enquiry_source=Search,"$898,000",3,2,86.95,2016,2020-07-18 17:01:43.228176
266A Punggol Way,https://www.99.co/singapore/sale/property/266a-punggol-way-hdb-kGAyWjGVeJKr3sGveLE6ta?enquiry_position=4314&enquiry_source=Search,"$500,000",3,2,91.88,2015,2020-07-18 17:01:43.228176
448 Pasir Ris Drive 6,https://www.99.co/singapore/sale/property/448-pasir-ris-drive-6-hdb-py3gDBv3gb266JzjqEoPER?enquiry_position=4315&enquiry_source=Search,"$699,000",4,3,145.95,1989,2020-07-18 17:01:43.228176
302D Punggol Place,https://www.99.co/singapore/sale/property/302d-punggol-place-hdb-7zgbmSdFY8dSvCsVspAMvP?enquiry_position=4316&enquiry_source=Search,"$510,000",3,2,92.99,2011,2020-07-18 17:01:43.228176
266A Punggol Way,https://www.99.co/singapore/sale/property/266a-punggol-way-hdb-4VEUCB9jwc6xv4SUDoPmN4?enquiry_position=4317&enquiry_source=Search,"$500,000",3,2,91.97,2015,2020-07-18 17:01:43.228176
652 Senja Link,https://www.99.co/singapore/sale/property/652-senja-link-hdb-mWN2ZYwHZFbXLaUabAn7Ue?enquiry_position=4318&enquiry_source=Search,"$608,000",4,2,129.97,2001,2020-07-18 17:01:43.228176
577 Pasir Ris Street 53,https://www.99.co/singapore/sale/property/577-pasir-ris-street-53-hdb-qEnTY5aNSJrrWWBbcwTWT3?enquiry_position=4319&enquiry_source=Search,"$589,000",4,2,134.98,1995,2020-07-18 17:01:43.228176
157 Bishan Street 13,https://www.99.co/singapore/sale/property/157-bishan-street-13-hdb-BgrHvMiX2jCikjqxRmrMtS?enquiry_position=4320&enquiry_source=Search,"$820,000",3,2,120.95,1988,2020-07-18 17:01:43.228176
265C Compassvale Link,https://www.99.co/singapore/sale/property/265c-compassvale-link-hdb-Nn6eCsEBVN4PNEMX9u7LfL?enquiry_position=4321&enquiry_source=Search,"$588,000",3,2,91.97,2008,2020-07-18 17:01:43.228176
264A Punggol Way,https://www.99.co/singapore/sale/property/264a-punggol-way-hdb-aYkyu3vc5z4zXtoUDv4pmU?enquiry_position=4322&enquiry_source=Search,"$599,888",3,2,111.94,2015,2020-07-18 17:01:43.228176
633 Yishun Street 61,https://www.99.co/singapore/sale/property/633-yishun-street-61-hdb-w564gjzA5SsPykRExy8rdY?enquiry_position=4324&enquiry_source=Search,"$800,000",6,5,175.95,1987,2020-07-18 17:01:43.228176
336C Anchorvale Crescent,https://www.99.co/singapore/sale/property/336c-anchorvale-crescent-hdb-WnpxxcyGKv2fdbER2fMNh9?enquiry_position=4325&enquiry_source=Search,"$475,000",3,2,91.97,2015,2020-07-18 17:01:43.228176
721 Bedok Reservoir Road,https://www.99.co/singapore/sale/property/721-bedok-reservoir-road-hdb-73kqUS7gnKqtdHCYnkuoL7?enquiry_position=4326&enquiry_source=Search,"$699,000",3,3,146.97,1984,2020-07-18 17:01:43.228176
18D Circuit Road,https://www.99.co/singapore/sale/property/18d-circuit-road-hdb-GtHbVvQQuduSuMmbWyiZ9T?enquiry_position=4327&enquiry_source=Search,"$820,000",3,2,91.97,,2020-07-18 17:01:43.228176
18D Circuit Road,https://www.99.co/singapore/sale/property/18d-circuit-road-hdb-ST7F9r2EhMLhNYUbPvuz7P?enquiry_position=4328&enquiry_source=Search,"$820,000",3,2,91.97,,2020-07-18 17:01:43.228176
815 Tampines Avenue 4,https://www.99.co/singapore/sale/property/815-tampines-avenue-4-hdb-ipmJ94EYXdnbNe7gLTe8DR?enquiry_position=4329&enquiry_source=Search,"$580,000",3,2,120.95,1985,2020-07-18 17:01:43.228176
358 Woodlands Avenue 5,https://www.99.co/singapore/sale/property/358-woodlands-avenue-5-hdb-p2yyAj2Wi8aS7PJJogMfjK?enquiry_position=4330&enquiry_source=Search,"$568,000",4,2,143.99,1996,2020-07-18 17:01:43.228176
187B Rivervale Drive,https://www.99.co/singapore/sale/property/187b-rivervale-drive-hdb-q9uaoYYdyqKrFffTr4bztG?enquiry_position=4331&enquiry_source=Search,"$399,999",3,2,109.99,2000,2020-07-18 17:01:43.228176
138B Yuan Ching Road,https://www.99.co/singapore/sale/property/138b-yuan-ching-road-hdb-R6k3WD8RGAeoyS2wKUaTQ?enquiry_position=4332&enquiry_source=Search,"$459,000",5,5,68.00,,2020-07-18 17:01:43.228176
293D Compassvale Crescent,https://www.99.co/singapore/sale/property/293d-compassvale-crescent-hdb-f8usedd3oAobJALUYXQ33T?enquiry_position=4333&enquiry_source=Search,"$588,000",3,2,112.97,,2020-07-18 17:01:43.228176
2C Upper Boon Keng Road,https://www.99.co/singapore/sale/property/2c-upper-boon-keng-road-hdb-7rTkoqMe5bajb4JLJNC7GV?enquiry_position=4334&enquiry_source=Search,"$799,000",3,2,109.99,2006,2020-07-18 17:01:43.228176
9A Boon Tiong Road,https://www.99.co/singapore/sale/property/9a-boon-tiong-road-hdb-EXgYcyFDrpY2mqTuPPGt2n?enquiry_position=4335&enquiry_source=Search,"$1,180,000",3,2,111.94,,2020-07-18 17:01:43.228176
307 Clementi Avenue 4,https://www.99.co/singapore/sale/property/307-clementi-avenue-4-hdb-BLcGPK8nvVYrd74jonR6qg?enquiry_position=4336&enquiry_source=Search,"$558,000",3,2,91.88,1979,2020-07-18 17:01:43.228176
129 Potong Pasir Avenue 1,https://www.99.co/singapore/sale/property/129-potong-pasir-avenue-1-hdb-tg7QwDFvBHkpYQTfeNWn7B?enquiry_position=4337&enquiry_source=Search,"$988,000",4,2,161.00,1984,2020-07-18 17:01:43.228176
459 Tampines Street 42,https://www.99.co/singapore/sale/property/459-tampines-street-42-hdb-Le52MJwz93QYmmuwmCYfS6?enquiry_position=4338&enquiry_source=Search,"$430,000",3,2,83.89,1987,2020-07-18 17:01:43.228176
348B Yishun Avenue 11,https://www.99.co/singapore/sale/property/348b-yishun-avenue-11-hdb-naTSAtNNm6YFuZF3ea8NaE?enquiry_position=4339&enquiry_source=Search,"$650,000",3,2,91.97,2013,2020-07-18 17:01:43.228176
334 Serangoon Avenue 3,https://www.99.co/singapore/sale/property/334-serangoon-avenue-3-hdb-S9TGvVnaNCwTT4Z4hSBj2D?enquiry_position=4340&enquiry_source=Search,"$518,000",3,2,83.89,1987,2020-07-18 17:01:43.228176
308B Punggol Walk,https://www.99.co/singapore/sale/property/308b-punggol-walk-hdb-QW7WXrK4rdNhe52zuNAAeP?enquiry_position=4341&enquiry_source=Search,"$720,000",3,2,111.94,,2020-07-18 17:01:43.228176
318 Jurong East Street 31,https://www.99.co/singapore/sale/property/318-jurong-east-street-31-hdb-ZDoA6hZJQwKEuj8wYemg5h?enquiry_position=4342&enquiry_source=Search,"$335,000",2,2,89.46,1984,2020-07-18 17:01:43.228176
348 Clementi Avenue 5,https://www.99.co/singapore/sale/property/348-clementi-avenue-5-hdb-opSMtZKtXucTGKFs8k8Bjc?enquiry_position=4343&enquiry_source=Search,"$430,000",3,2,91.97,1979,2020-07-18 17:01:43.228176
156 Lorong 1 Toa Payoh,https://www.99.co/singapore/sale/property/156-lorong-1-toa-payoh-hdb-Ycujqp7y4gsw7yaLwwjMoZ?enquiry_position=4344&enquiry_source=Search,"$878,000",4,2,117.98,1999,2020-07-18 17:01:43.228176
348A Yishun Avenue 11,https://www.99.co/singapore/sale/property/348a-yishun-avenue-11-hdb-KZqteRFkAW89V9br6ekakM?enquiry_position=4345&enquiry_source=Search,"$580,000",3,2,91.97,2013,2020-07-18 17:01:43.228176
234 Tampines Street 21,https://www.99.co/singapore/sale/property/234-tampines-street-21-hdb-YMpEGM9jDUPZpMYaWv7Xw9?enquiry_position=4346&enquiry_source=Search,"$495,000",3,2,104.98,1984,2020-07-18 17:01:43.228176
589 Woodlands Drive 16,https://www.99.co/singapore/sale/property/589-woodlands-drive-16-hdb-svECN2dLMwgKJna3ZGpryC?enquiry_position=4347&enquiry_source=Search,"$460,000",3,2,10.31,2001,2020-07-18 17:01:43.228176
256D Sumang Walk,https://www.99.co/singapore/sale/property/256d-sumang-walk-hdb-sQbXxPT9QjrfNcZZNnwGyg?enquiry_position=4348&enquiry_source=Search,"$550,000",3,2,92.99,,2020-07-18 17:01:43.228176
635 Pasir Ris Drive 1,https://www.99.co/singapore/sale/property/635-pasir-ris-drive-1-hdb-vvh8wDgNfLNnjR7PXMvWG3?enquiry_position=4349&enquiry_source=Search,"$515,000",3,2,123.00,1995,2020-07-18 17:01:43.228176
808A Chai Chee Road,https://www.99.co/singapore/sale/property/808a-chai-chee-road-hdb-6Xp9i85u6u4ftesRdNuEsR?enquiry_position=4350&enquiry_source=Search,"$670,000",3,2,92.99,,2020-07-18 17:01:43.228176
316A Yishun Avenue 9,https://www.99.co/singapore/sale/property/316a-yishun-avenue-9-hdb-9dPsQBtKQKPQRsoyK72hvD?enquiry_position=4351&enquiry_source=Search,"$420,000",3,2,91.97,2015,2020-07-18 17:01:43.228176
679 Choa Chu Kang Crescent,https://www.99.co/singapore/sale/property/679-choa-chu-kang-crescent-hdb-M9HEw5MZ8DghVH4huAr4u3?enquiry_position=4352&enquiry_source=Search,"$340,000",3,2,105.90,1999,2020-07-18 17:01:43.228176
352 Tampines Street 33,https://www.99.co/singapore/sale/property/352-tampines-street-33-hdb-6LUdQ3E9uw7tjzQAYGx2Fc?enquiry_position=4353&enquiry_source=Search,"$500,000",3,2,121.98,1996,2020-07-18 17:01:43.228176
305D Anchorvale Link,https://www.99.co/singapore/sale/property/305d-anchorvale-link-hdb-u8Tv9QQQgdUqZZ4hnxznMB?enquiry_position=4354&enquiry_source=Search,"$445,000",3,2,109.99,2002,2020-07-18 17:01:43.228176
663C Punggol Drive,https://www.99.co/singapore/sale/property/663c-punggol-drive-hdb-hueBD7nPrYqkKnWeZXdDj5?enquiry_position=4355&enquiry_source=Search,"$588,000",3,2,109.99,,2020-07-18 17:01:43.228176
233 Tampines Street 21,https://www.99.co/singapore/sale/property/233-tampines-street-21-hdb-yWx68Q5k8AQhu4KHymgx3K?enquiry_position=4356&enquiry_source=Search,"$565,000",3,2,120.95,1985,2020-07-18 17:01:43.228176
310B Punggol Walk,https://www.99.co/singapore/sale/property/310b-punggol-walk-hdb-kCvyyixU65959xyRDi3kfC?enquiry_position=4357&enquiry_source=Search,"$748,000",3,2,112.04,,2020-07-18 17:01:43.228176
