address,link,price,bedrooms,bathrooms,floor_area,year_built,date_scraped
126 Ang Mo Kio Avenue 3,https://www.99.co/singapore/sale/property/126-ang-mo-kio-avenue-3-hdb-GzQvHuGh97wT4jRLuc8UtH?enquiry_position=46&enquiry_source=Search,"$880,000",4,4,155.61,1978,2020-07-18 17:01:43.228176
287 Tampines Street 22,https://www.99.co/singapore/sale/property/287-tampines-street-22-hdb-JmmUNp766fvotvZN4etqfA?enquiry_position=47&enquiry_source=Search,"$330,000",2,2,73.95,1984,2020-07-18 17:01:43.228176
266D Punggol Way,https://www.99.co/singapore/sale/property/266d-punggol-way-hdb-EWwaD8mNtZXE7uR8JisoJM?enquiry_position=48&enquiry_source=Search,"$475,000",3,2,91.97,2015,2020-07-18 17:01:43.228176
769 Bedok Reservoir View,https://www.99.co/singapore/sale/property/769-bedok-reservoir-view-hdb-e5Ap66MSa8f994BU8tAte8?enquiry_position=49&enquiry_source=Search,"$550,000",3,2,104.98,2000,2020-07-18 17:01:43.228176
673C Edgefield Plains,https://www.99.co/singapore/sale/property/673c-edgefield-plains-hdb-e4oNhpYbj3wxuo684gMfwU?enquiry_position=50&enquiry_source=Search,"$450,000",3,2,89.93,,2020-07-18 17:01:43.228176
335A Smith Street,https://www.99.co/singapore/sale/property/335a-smith-street-hdb-zDqczruaaToBDyBL9Wn85X?enquiry_position=51&enquiry_source=Search,"$408,000",2,1,60.01,1984,2020-07-18 17:01:43.228176
258A Compassvale Road,https://www.99.co/singapore/sale/property/258a-compassvale-road-hdb-SUcecP3upcDMr8rNSiQxPe?enquiry_position=52&enquiry_source=Search,"$498,000",3,2,109.99,2001,2020-07-18 17:01:43.228176
265B Punggol Way,https://www.99.co/singapore/sale/property/265b-punggol-way-hdb-vosZ7TxxGt6ihPY52fA2bV?enquiry_position=53&enquiry_source=Search,"$638,000",3,2,110.92,2015,2020-07-18 17:01:43.228176
250 Bishan Street 22,https://www.99.co/singapore/sale/property/250-bishan-street-22-hdb-ZpVJneKStK2FRGgf2fJHeU?enquiry_position=54&enquiry_source=Search,"$600,000",3,2,104.98,1992,2020-07-18 17:01:43.228176
664B Punggol Drive,https://www.99.co/singapore/sale/property/664b-punggol-drive-hdb-GrHypM2yJ2XtaKtaRvjbyf?enquiry_position=55&enquiry_source=Search,"$488,000",3,2,89.93,,2020-07-18 17:01:43.228176
185 Bedok North Road,https://www.99.co/singapore/sale/property/185-bedok-north-road-hdb-qyh6CWGMquDintGvnxACih?enquiry_position=56&enquiry_source=Search,"$700,000",3,2,91.97,2005,2020-07-18 17:01:43.228176
1A Cantonment Road,https://www.99.co/singapore/sale/property/1a-cantonment-road-hdb-yKQZupB8roAjQpyzvgJaQf?enquiry_position=57&enquiry_source=Search,"$1,250,000",3,2,106.93,2011,2020-07-18 17:01:43.228176
406 Bedok North Avenue 3,https://www.99.co/singapore/sale/property/406-bedok-north-avenue-3-hdb-AKWm7ra3EQe2QTCAiemF3K?enquiry_position=58&enquiry_source=Search,"$650,000",3,2,117.98,1980,2020-07-18 17:01:43.228176
137 Bedok North Avenue 3,https://www.99.co/singapore/sale/property/137-bedok-north-avenue-3-hdb-mw6NFKaXnUtC7gnM4Z7ayQ?enquiry_position=59&enquiry_source=Search,"$488,000",3,2,116.96,1979,2020-07-18 17:01:43.228176
547 Bedok North Street 3,https://www.99.co/singapore/sale/property/547-bedok-north-street-3-hdb-ZewQFALGprD77X6yEh4Jy9?enquiry_position=60&enquiry_source=Search,"$410,000",3,2,91.97,1980,2020-07-18 17:01:43.228176
253 Yishun Ring Road,https://www.99.co/singapore/sale/property/253-yishun-ring-road-hdb-wMTTMHZir2yeBXPfsQMcAc?enquiry_position=61&enquiry_source=Search,"$355,000",3,2,83.98,1985,2020-07-18 17:01:43.228176
163A Punggol Central,https://www.99.co/singapore/sale/property/163a-punggol-central-hdb-xp7skyenUpsdLqqfuaTc78?enquiry_position=62&enquiry_source=Search,"$530,000",3,2,113.99,2004,2020-07-18 17:01:43.228176
313B Sumang Link,https://www.99.co/singapore/sale/property/313b-sumang-link-hdb-e4gkscW7XQ84ksPH4QyLdj?enquiry_position=63&enquiry_source=Search,"$650,000",3,2,112.04,2015,2020-07-18 17:01:43.228176
664B Punggol Drive,https://www.99.co/singapore/sale/property/664b-punggol-drive-hdb-7HHzsPCirLwZ3kWzYPkCmW?enquiry_position=64&enquiry_source=Search,"$650,000",3,2,112.04,,2020-07-18 17:01:43.228176
633B Senja Road,https://www.99.co/singapore/sale/property/633b-senja-road-hdb-48sjDqcQDsCUXXVnjSZ8M3?enquiry_position=65&enquiry_source=Search,"$465,000",3,2,92.99,2013,2020-07-18 17:01:43.228176
149 Silat Avenue,https://www.99.co/singapore/sale/property/149-silat-avenue-hdb-oKtacYuAvx9fDqgUkmdba?enquiry_position=66&enquiry_source=Search,"$525,000",3,2,95.96,1982,2020-07-18 17:01:43.228176
116 Bishan Street 12,https://www.99.co/singapore/sale/property/116-bishan-street-12-hdb-JDmUibA7HNKXB6nfDqer8D?enquiry_position=67&enquiry_source=Search,"$518,000",3,2,83.98,1985,2020-07-18 17:01:43.228176
306B Anchorvale Link,https://www.99.co/singapore/sale/property/306b-anchorvale-link-hdb-dLKvmknCGFgqf8dxLFpro7?enquiry_position=68&enquiry_source=Search,"$569,000",4,2,127.92,2001,2020-07-18 17:01:43.228176
2 Tanjong Pagar Plaza,https://www.99.co/singapore/sale/property/2-tanjong-pagar-plaza-hdb-SCrkEGNnKFgAvCCboXoSf3?enquiry_position=69&enquiry_source=Search,"$495,000",2,2,58.99,1977,2020-07-18 17:01:43.228176
266D Punggol Way,https://www.99.co/singapore/sale/property/266d-punggol-way-hdb-fKwckmAj3Q9YM27np2QnFY?enquiry_position=70&enquiry_source=Search,"$528,000",3,2,91.97,2015,2020-07-18 17:01:43.228176
114 Ang Mo Kio Avenue 4,https://www.99.co/singapore/sale/property/114-ang-mo-kio-avenue-4-hdb-MdAUQFsZjrkjob4HmTZLKm?enquiry_position=71&enquiry_source=Search,"$350,000",2,2,89.00,1978,2020-07-18 17:01:43.228176
