No of bedrooms,No of bathrooms,floor_area_sqm,remaining_lease,LAT,LON,distance_to_primary_school,distance_to_seconday_school,distance_to_junior_college,distance_to_polytechnic,distance_to_mrt_lrt,distance_to_preschool,price,link
3.0,2,129.97,79,1.3434308330000002,103.7032581,0.498137036244446,0.17440775598923003,7.25937822992067,7.6851320480747205,0.6134234314025656,0.3496052847302108,550000.0,https://www.99.co/singapore/sale/property/669d-jurong-west-street-64-hdb-DwD4nKq6iYWyxirvb4Wykf?enquiry_position=36&enquiry_source=Search
3.0,2,121.98,65,1.35272298,103.7537964,0.16575721611105226,0.08271860096385876,3.545650670819955,2.9709574769539593,0.6239576117796765,0.17992720332576392,484888.0,https://www.99.co/singapore/sale/property/511-bukit-batok-street-52-hdb-PWX3psxt8jvcZDttNW6aLY?enquiry_position=37&enquiry_source=Search
3.0,2,121.98,65,1.35272298,103.7537964,0.16575721611105226,0.08271860096385876,3.545650670819955,2.9709574769539593,0.6239576117796765,0.17992720332576392,482000.0,https://www.99.co/singapore/sale/property/511-bukit-batok-street-52-hdb-kJPhpu83VBwauHxXdnB3vN?enquiry_position=38&enquiry_source=Search
3.0,2,96.99,57,1.311441232,103.769692,0.5737896770740765,0.37457408340989096,1.8794687197878477,0.34646503802754197,0.6527741317035048,0.22964484833955395,450000.0,https://www.99.co/singapore/sale/property/410-commonwealth-avenue-west-hdb-w83xNfxzcjBZui9tZjBbr?enquiry_position=39&enquiry_source=Search
3.0,2,91.97,59,1.369872141,103.8580035,0.72410687429215,0.730562726628899,1.647105805445237,1.171275965175637,0.938838319313078,0.24385508932221175,410000.0,https://www.99.co/singapore/sale/property/563-ang-mo-kio-avenue-3-hdb-vPkyvavPCvTg5xfYFcWieU?enquiry_position=40&enquiry_source=Search
3.0,2,119.0,59,1.3727908169999998,103.8469112,0.5537643793193696,0.5276064780693348,0.6336796593897515,0.5537937079873665,0.43306599367551596,0.14295834836866117,675000.0,https://www.99.co/singapore/sale/property/725-ang-mo-kio-avenue-6-hdb-4C7aB5shFDupWrZnaHwugP?enquiry_position=41&enquiry_source=Search
2.0,2,66.98,57,1.312511991,103.7632688,0.367332921233629,0.3550384588927044,2.5796150535787965,1.0703600056981457,0.36698208886361516,0.16234225368447228,389000.0,https://www.99.co/singapore/sale/property/428-clementi-avenue-3-hdb-SwioUupwh5ydUXqUcxeETi?enquiry_position=42&enquiry_source=Search
4.0,2,133.87,79,1.344623934,103.7055601,0.6263089284902132,0.4070049864651883,6.9773691672650475,7.454726139136891,0.6708069089176685,0.19431999046431472,668000.0,https://www.99.co/singapore/sale/property/680a-jurong-west-central-1-hdb-wgNGnBJti4tBMM7Kbrjcxg?enquiry_position=43&enquiry_source=Search
4.0,2,120.95,71,1.361341729,103.8448747,0.8078601603046175,0.6990750168302602,0.5035186377332019,1.8193609108511042,0.9269564141833819,0.26725977048253924,899000.0,https://www.99.co/singapore/sale/property/242-bishan-street-22-hdb-2RSDDJYWa2dB6Bxoez4qdd?enquiry_position=44&enquiry_source=Search
3.0,2,139.91,62,1.307285341,103.8885056,1.3548631562251094,0.20491974420321463,3.4533745882409055,6.284348551651643,0.11757032373286128,0.3217048688627665,998000.0,https://www.99.co/singapore/sale/property/60-dakota-crescent-hdb-eD6XzBvTAhGwu9Cs8Va9AD?enquiry_position=45&enquiry_source=Search
4.0,4,155.61,57,1.3716499,103.8436442,0.5307177842540873,0.4910328036761353,0.7905175163572089,0.8856621101914356,0.6845644731548193,0.2177815423736696,880000.0,https://www.99.co/singapore/sale/property/126-ang-mo-kio-avenue-3-hdb-GzQvHuGh97wT4jRLuc8UtH?enquiry_position=46&enquiry_source=Search
2.0,2,73.95,63,1.349174346,103.9542501,0.2942177564825323,0.6436692933400088,3.583511816449709,2.182804367038939,0.671084764248309,0.18046931472327274,330000.0,https://www.99.co/singapore/sale/property/287-tampines-street-22-hdb-JmmUNp766fvotvZN4etqfA?enquiry_position=47&enquiry_source=Search
3.0,2,91.97,94,1.404939601,103.8980368,0.2357558862340814,0.6988200945561754,5.396951744724239,5.878686418937081,0.09328684445101586,0.2863313544626819,475000.0,https://www.99.co/singapore/sale/property/266d-punggol-way-hdb-EWwaD8mNtZXE7uR8JisoJM?enquiry_position=48&enquiry_source=Search
3.0,2,104.98,79,1.33577919,103.9379116,0.3821539449058451,0.3438371390601813,1.9426945073552453,0.9371625612160183,0.6377703604769792,0.24760137237117236,550000.0,https://www.99.co/singapore/sale/property/769-bedok-reservoir-view-hdb-e5Ap66MSa8f994BU8tAte8?enquiry_position=49&enquiry_source=Search
2.0,1,60.01,63,1.282116308,103.8428456,0.8037054820023299,0.7983695012640513,4.798421779678641,7.3163506179357025,0.20808413149550314,0.6267542419274728,408000.0,https://www.99.co/singapore/sale/property/335a-smith-street-hdb-zDqczruaaToBDyBL9Wn85X?enquiry_position=51&enquiry_source=Search
3.0,2,109.99,80,1.3929347440000002,103.8969182,0.20622876773998008,0.4909937559978111,4.862728891006271,5.356899263705183,0.21073178380555643,0.12292987456852901,498000.0,https://www.99.co/singapore/sale/property/258a-compassvale-road-hdb-SUcecP3upcDMr8rNSiQxPe?enquiry_position=52&enquiry_source=Search
3.0,2,110.92,94,1.405199693,103.8986626,0.1879183751822794,0.6790902519529028,5.357514126987908,5.954007849076803,0.1531405732417788,0.24504682044940423,638000.0,https://www.99.co/singapore/sale/property/265b-punggol-way-hdb-vosZ7TxxGt6ihPY52fA2bV?enquiry_position=53&enquiry_source=Search
3.0,2,104.98,71,1.361614821,103.8439371,0.8837685385257719,0.65578105840741,0.39504421764931463,1.8231251620754192,1.018346133509966,0.23050802476801052,600000.0,https://www.99.co/singapore/sale/property/250-bishan-street-22-hdb-ZpVJneKStK2FRGgf2fJHeU?enquiry_position=54&enquiry_source=Search
3.0,2,91.97,84,1.326237253,103.9408276,0.2829946473448689,0.38541790165150774,1.0418583981203733,2.0283188270344117,0.5986085788702568,0.06405783084826594,700000.0,https://www.99.co/singapore/sale/property/185-bedok-north-road-hdb-qyh6CWGMquDintGvnxACih?enquiry_position=56&enquiry_source=Search
3.0,2,106.93,90,1.27784271,103.8409659,0.2845916061932506,1.0440581961071982,5.236050131827854,7.331550837613692,0.26563606669619133,0.1374091394404423,1250000.0,https://www.99.co/singapore/sale/property/1a-cantonment-road-hdb-yKQZupB8roAjQpyzvgJaQf?enquiry_position=57&enquiry_source=Search
3.0,2,117.98,59,1.328225507,103.9344693,0.3701429963847755,0.6335397799054407,1.092889003096004,1.6358259151684702,0.6747584759859202,0.17075983729217953,650000.0,https://www.99.co/singapore/sale/property/406-bedok-north-avenue-3-hdb-AKWm7ra3EQe2QTCAiemF3K?enquiry_position=58&enquiry_source=Search
3.0,2,116.96,58,1.328830662,103.9355097,0.4358154527914969,0.555532056704657,1.1529948168092057,1.5817083203394418,0.8052794207609609,0.111376853371424,488000.0,https://www.99.co/singapore/sale/property/137-bedok-north-avenue-3-hdb-mw6NFKaXnUtC7gnM4Z7ayQ?enquiry_position=59&enquiry_source=Search
3.0,2,91.97,59,1.330331136,103.9254321,0.7173785136786031,0.622061433470166,1.7375192969315854,1.6405335218623858,0.8666620464145312,0.2982175496086314,410000.0,https://www.99.co/singapore/sale/property/547-bedok-north-street-3-hdb-ZewQFALGprD77X6yEh4Jy9?enquiry_position=60&enquiry_source=Search
3.0,2,83.98,64,1.435074739,103.840795,0.3289146749844332,0.10655580207473304,1.7002575633860155,5.802637821409464,0.8831139874627028,0.36678638054947516,355000.0,https://www.99.co/singapore/sale/property/253-yishun-ring-road-hdb-wMTTMHZir2yeBXPfsQMcAc?enquiry_position=61&enquiry_source=Search
3.0,2,113.99,83,1.3955006019999998,103.9140598,0.19399992964724572,0.33974547573034075,3.342341128309302,5.537896422969509,0.24153779347236615,0.125697271825773,530000.0,https://www.99.co/singapore/sale/property/163a-punggol-central-hdb-xp7skyenUpsdLqqfuaTc78?enquiry_position=62&enquiry_source=Search
3.0,2,112.04,94,1.410239547,103.9021436,0.3822314637506338,1.118649068076517,5.4191898767608535,6.543577105384902,0.2725057944088596,0.3959279677602398,650000.0,https://www.99.co/singapore/sale/property/313b-sumang-link-hdb-e4gkscW7XQ84ksPH4QyLdj?enquiry_position=63&enquiry_source=Search
3.0,2,92.99,92,1.385169707,103.7585291,0.24756903708182312,0.3437850748958345,0.5147195046623452,5.847350440917311,0.503716734743112,0.061700497480524856,465000.0,https://www.99.co/singapore/sale/property/633b-senja-road-hdb-48sjDqcQDsCUXXVnjSZ8M3?enquiry_position=65&enquiry_source=Search
3.0,2,95.96,61,1.277360665,103.8316002,0.8669496014040462,1.1737159098901668,5.261711304073854,6.453845867501688,0.7860051462725836,0.16888269178967663,525000.0,https://www.99.co/singapore/sale/property/149-silat-avenue-hdb-oKtacYuAvx9fDqgUkmdba?enquiry_position=66&enquiry_source=Search
