No of bedrooms,No of bathrooms,floor_area_sqm,remaining_lease,LAT,LON,distance_to_primary_school,distance_to_seconday_school,distance_to_junior_college,distance_to_polytechnic,distance_to_mrt_lrt,distance_to_preschool,resale_price,random_forest,XGBoost,Clustering,difference_with_random_forest,difference_with_XGBoost,difference_with_Clustering
3.0,2.0,104.0,67.0,1.4167,103.8392,0.06464893836068253,0.22323811252501563,1.3805795833026835,3.8543079523494805,0.6895355930909829,0.29461139838649325,373000.0,371150.58333333326,356970.1,380000.0,1849.4166666667443,16029.90625,-7000.0
3.0,2.0,90.0,82.0,1.4037,103.7512,0.4776614724814748,0.730111407285699,2.1443943762067463,5.7736719580485305,0.7841522636253925,0.2121428263411286,325000.0,312412.6066666667,312256.53,315500.0,12587.393333333312,12743.46875,9500.0
3.0,2.0,95.0,92.0,1.2769,103.8415,0.2340740043257383,1.164112732522099,5.347717836822738,7.4328445634088505,0.3853200223974628,0.0491827580088714,838000.0,860788.2579365078,883150.0,867000.0,-22788.257936507813,-45150.0,-29000.0
3.0,2.0,111.0,95.0,1.3943,103.8745,0.17817516323664712,0.6300880155313282,3.588614286355524,3.0075329971065985,0.33537910066100834,0.2835380247043315,570000.0,563327.8529365079,558060.5,565500.0,6672.147063492099,11939.5,4500.0
3.0,2.0,94.0,94.0,1.3999,103.9119,0.13078983940353373,0.2934624526354974,3.8422623229501127,6.076874672970828,0.28087091341961057,0.1385045207950136,433888.0,431872.4323809523,430137.12,428000.0,2015.5676190477097,3750.875,5888.0
3.0,2.0,120.0,68.0,1.4219,103.8395,0.15826319281238138,0.4263293176279217,1.1375786533620473,4.4005048887745835,0.8614479337393374,0.22451929878736904,443000.0,419420.1111111111,430079.34,420000.0,23579.888888888876,12920.65625,23000.0
3.0,2.0,121.0,68.0,1.433,103.7778,0.2657390669251783,0.2515181109746986,5.836805947135036,1.3765095405245598,0.41752057116428287,0.40972056632994375,370000.0,386748.74166666664,395905.5,358750.0,-16748.74166666664,-25905.5,11250.0
3.0,2.0,110.0,81.0,1.3924,103.8976,0.23864830836631473,0.4939545089693004,4.770386281292157,5.42029118308844,0.2478781582702726,0.16392241319630135,430000.0,485868.1066666666,482267.5,511500.0,-55868.10666666657,-52267.5,-81500.0
2.0,2.0,82.0,62.0,1.3191,103.767,0.2750904230814585,0.6795381390723865,2.2417144518843726,1.1105844212018883,0.47653845500446873,0.3115877608734359,415000.0,394640.0,402754.7,336750.0,20360.0,12245.3125,78250.0
3.0,2.0,94.0,91.0,1.3378,103.7222,0.46058969486101586,0.48728863407930195,6.287707494241197,5.5158786498497125,0.7315605479424339,0.2837582458111233,425000.0,437647.50396825396,441292.62,438250.0,-12647.503968253965,-16292.625,-13250.0
3.0,2.0,145.0,67.0,1.4295,103.8473,0.20990603765490914,0.9901974668347431,2.0373477203037567,5.105573045189195,1.3607955817685533,0.24238356724795193,520000.0,537281.4784761905,525208.75,535250.0,-17281.478476190474,-5208.75,-15250.0
3.0,2.0,174.0,75.0,1.4378,103.7773,0.5489426985840105,0.1927153946940861,5.999292845502246,1.0207403042625494,0.6792728203196632,0.33565454385233295,688000.0,611575.0,614265.56,613250.0,76425.0,73734.4375,74750.0
3.0,2.0,122.0,79.0,1.4433,103.7956,0.15047997159233611,0.3078353749098077,4.316021826470164,0.985088785937966,0.6564863324125139,0.14442253351713505,430000.0,374496.0433333333,389152.03,387625.0,55503.95666666672,40847.96875,42375.0
3.0,2.0,88.0,92.0,1.3656,103.8452,0.6498419124137473,0.3489520092724307,0.6302247179627347,1.3588150618803985,0.6363856538320437,0.17429980183555616,695000.0,570808.0215079365,598871.5,594250.0,124191.97849206347,96128.5,100750.0
3.0,2.0,122.0,67.0,1.3356,103.9133,0.564442621264744,1.259616748055552,3.1266286586935466,2.1390860842051445,0.5287415417504548,0.18884286019140611,486000.0,482831.41666666674,501118.8,480750.0,3168.5833333332557,-15118.8125,5250.0
3.0,2.0,97.0,57.0,1.4428,103.7737,0.9314669595920738,0.4118424362081355,6.538080457599905,1.0757842815643577,1.1319666926762781,0.1079692802111051,260000.0,281175.0416666667,273927.9,308750.0,-21175.041666666686,-13927.90625,-48750.0
3.0,2.0,93.0,94.0,1.3847,103.7592,0.15677924263083937,0.36089666014217353,0.5856015637183889,5.77264488663861,0.4127614498807597,0.15231266045408284,446000.0,445096.6401770452,440240.12,457672.0,903.3598229548079,5759.875,-11672.0
3.0,2.0,112.0,73.0,1.366,103.8394,0.34612569238982765,0.38652773113788996,0.4122677683017999,1.664810913616046,0.6842183863203577,0.3360664716734565,480000.0,576732.2133333333,547715.25,421500.0,-96732.21333333326,-67715.25,58500.0
2.0,2.0,70.0,93.0,1.3655,103.8441,0.6897514095172659,0.2655555908906216,0.5256150040891563,1.416831166308282,0.7383852012970893,0.08155666325785019,510000.0,453314.33279220754,455703.2,453500.0,56685.66720779246,54296.8125,56500.0
