No of bedrooms,No of bathrooms,floor_area_sqm,remaining_lease,LAT,LON,distance_to_primary_school,distance_to_seconday_school,distance_to_junior_college,distance_to_polytechnic,distance_to_mrt_lrt,distance_to_preschool,price,link
3,2,111.94723151244891,93,1.4059607159999998,103.8979707,0.14552127192324854,0.7925917588243182,5.469606256207086,5.9186613184268,0.10363487232887185,0.22476246528032787,590000.0,https://www.propertyguru.com.sg/listing/hdb-for-sale-266a-punggol-way-22251365
3,2,91.9732441471572,58,1.328523202,103.932856,0.2275537168306236,0.6595607160579852,1.159545398830061,1.5995230698269982,0.5881169615211737,0.04761608839253315,408000.0,https://www.propertyguru.com.sg/listing/hdb-for-sale-408-bedok-north-avenue-2-22885390
3,2,92.99516908212561,93,1.404534086,103.8956655,0.4446283129309964,0.8675631762418101,5.588531784492827,5.619631114268011,0.2008288912750652,0.5067443690690877,448000.0,https://www.propertyguru.com.sg/listing/hdb-for-sale-259c-punggol-field-22884600
4,2,145.94946116685247,67,1.325088459,103.9100088,0.6311256920324788,0.9505785551896275,2.3999594461797833,3.185757227285139,0.5564931494206954,0.3287434603634896,888000.0,https://www.propertyguru.com.sg/listing/hdb-for-sale-106-lengkong-tiga-22789393
3,3,146.97138610182088,65,1.353980851,103.7527782,0.160380386181976,0.1417921672484445,3.4081669911056904,3.1507010474367854,0.5264812212369675,0.0,530000.0,https://www.propertyguru.com.sg/listing/hdb-for-sale-512-bukit-batok-street-52-22876423
3,2,109.99628390932739,80,1.393783889,103.9109815,0.34031787812123854,0.39441169259579223,3.509382713744549,5.470578253779851,0.17833295998880028,0.14182809910063074,478000.0,https://www.propertyguru.com.sg/listing/hdb-for-sale-126d-edgedale-plains-22996780
3,2,115.01300631735415,77,1.394219766,103.9030537,0.19849049425264703,0.41764756971933586,4.299374681478245,5.89061991895949,0.28633058960807034,0.1722467456231497,488000.0,https://www.propertyguru.com.sg/listing/hdb-for-sale-192b-rivervale-drive-23000940
3,2,83.9836492010405,66,1.348037331,103.9570461,0.6002382580075845,0.7080938946008126,3.8578554353046983,2.467779519408101,0.6751208868232963,0.3956997977220134,380000.0,https://www.propertyguru.com.sg/listing/hdb-for-sale-135-simei-street-1-22996995
3,3,145.94946116685247,63,1.351977155,103.8833135,1.0182434634450892,0.9666694846720177,1.8786652777375306,4.597933015269267,0.8909233134929879,0.35654820129611914,690000.0,https://www.propertyguru.com.sg/listing/hdb-for-sale-144-lorong-ah-soo-22997018
3,2,83.9836492010405,66,1.347218118,103.9569005,0.6002755542505568,0.7985809002334944,3.9246609871737945,2.441264515079601,0.5943054514399958,0.345029275084969,420000.0,https://www.propertyguru.com.sg/listing/hdb-for-sale-138-simei-street-1-22578012
4,2,147.9933110367893,71,1.35330429,103.957435,0.48579593464482096,0.14382422098709452,3.4171097778055683,2.6512466193810234,0.4471986806714762,0.22015914159101052,720000.0,https://www.propertyguru.com.sg/listing/hdb-for-sale-311-tampines-street-33-22052609
3,2,91.9732441471572,83,1.326869941,103.9418328,0.4115482563115526,0.36771983875136244,1.163820756486954,2.0138070282131983,0.4808529383375411,0.09950085068642775,648000.0,https://www.propertyguru.com.sg/listing/hdb-for-sale-182-bedok-north-road-21915132
3,2,91.9732441471572,89,1.383993735,103.8991735,0.388743506458412,0.24968811424421258,4.341929568452742,5.191158629122077,0.22158227328668254,0.11889195377971468,448000.0,https://www.propertyguru.com.sg/listing/hdb-for-sale-209c-compassvale-lane-22813972
3,2,90.02229654403568,93,1.407590312,103.9109236,0.35380843961918157,0.639821745319738,4.530893151104375,6.925428931927527,0.3675776016384963,0.3173098652502171,428000.0,https://www.propertyguru.com.sg/listing/hdb-for-sale-672d-edgefield-plains-22237002
3,2,120.95875139353402,62,1.353235727,103.9499466,0.21522612018989454,0.21515018043722062,2.954626074588327,1.8878215685787154,0.5079941284334728,0.12770165790184218,530000.0,https://www.propertyguru.com.sg/listing/hdb-for-sale-256-tampines-street-21-22365449
3,2,92.99516908212561,93,1.389583108,103.8794771,0.5992442072744578,0.1323222917896999,3.9146736721812108,3.3826412974864257,0.2843361192006006,0.065293288036838,420000.0,https://www.propertyguru.com.sg/listing/hdb-for-sale-414a-fernvale-link-22371259
3,2,90.67261241174285,91,1.336710985,103.8454729,1.1208236602019794,0.925204329670713,1.1316648787401398,4.505667821061786,0.40347041403929534,0.16403749697467643,795000.0,https://www.propertyguru.com.sg/listing/hdb-for-sale-138a-lorong-1a-toa-payoh-22244924
3,2,92.99516908212561,63,1.360165215,103.8927117,0.36755542207256636,0.4380757605895124,3.114234436099926,4.240001638655669,0.7971436115145499,0.3152151057997656,370000.0,https://www.propertyguru.com.sg/listing/hdb-for-sale-252-hougang-avenue-3-22462401
3,2,120.0297287253809,54,1.304733486,103.913088,0.5265559696136747,1.8032899005297403,0.724563918544803,4.796202854341048,1.812768718198833,0.06302477169630075,780000.0,https://www.propertyguru.com.sg/listing/hdb-for-sale-44-marine-crescent-22258306
