address,link,price,bedrooms,bathrooms,floor_area,list_date,year_built,date_scraped
550A Segar Road,https://www.propertyguru.com.sg/listing/hdb-for-sale-550a-segar-road-22965341,"420,000",3 ,2 ,968,22m,2014,2020-07-15 17:14:41.615238
107 Bishan Street 12,https://www.propertyguru.com.sg/listing/hdb-for-sale-107-bishan-street-12-22971593,"680,000",3 ,2 ,1119,22m,1985,2020-07-15 17:14:41.615238
504C Yishun Street 51,https://www.propertyguru.com.sg/listing/hdb-for-sale-504c-yishun-street-51-22744823,"530,000",3 ,2 ,1216,23m,2015,2020-07-15 17:14:41.615238
633A Senja Road,https://www.propertyguru.com.sg/listing/hdb-for-sale-633a-senja-road-22959677,"348,000",2 ,2 ,720,23m,2012,2020-07-15 17:14:41.615238
165 Bishan Street 13,https://www.propertyguru.com.sg/listing/hdb-for-sale-165-bishan-street-13-21781704,"667,999",4 ,2 ,1302,23m,1987,2020-07-15 17:14:41.615238
665A Punggol Drive,https://www.propertyguru.com.sg/listing/hdb-for-sale-665a-punggol-drive-22279209,"470,000",3 ,2 ,990,24m,2015,2020-07-15 17:14:41.615238
312B Sumang Link,https://www.propertyguru.com.sg/listing/hdb-for-sale-312b-sumang-link-22324537,"500,000",3 ,2 ,990,25m,2014,2020-07-15 17:14:41.615238
326C Anchorvale Road,https://www.propertyguru.com.sg/listing/hdb-for-sale-326c-anchorvale-road-22334720,"560,000",3 ,2 ,1216,25m,2014,2020-07-15 17:14:41.615238
258 Tampines Street 21,https://www.propertyguru.com.sg/listing/hdb-for-sale-258-tampines-street-21-22762023,"350,000",2 ,2 ,882,25m,1983,2020-07-15 17:14:41.615238
470A Fernvale Link,https://www.propertyguru.com.sg/listing/hdb-for-sale-470a-fernvale-link-23001800,"450,000",3 ,2 ,1001,25m,NaN,2020-07-15 17:14:41.615238
13 Holland Drive,https://www.propertyguru.com.sg/listing/hdb-for-sale-13-holland-drive-22972810,"600,000",3 ,1 ,947,28m,1974,2020-07-15 17:14:41.615238
260A Punggol Way,https://www.propertyguru.com.sg/listing/hdb-for-sale-260a-punggol-way-22775169,"550,000",3 ,2 ,1216,28m,2014,2020-07-15 17:14:41.615238
671A Edgefield Plains,https://www.propertyguru.com.sg/listing/hdb-for-sale-671a-edgefield-plains-22775151,"449,500",3 ,2 ,969,28m,2014,2020-07-15 17:14:41.615238
747B Bedok Reservoir Crescent,https://www.propertyguru.com.sg/listing/hdb-for-sale-747b-bedok-reservoir-crescent-22918234,"808,000",4 ,2 ,1130,28m,2014,2020-07-15 17:14:41.615238
