address,link,price,bedrooms,bathrooms,floor_area,list_date,year_built,date_scraped
326D Anchorvale Road,https://www.propertyguru.com.sg/listing/hdb-for-sale-326d-anchorvale-road-22995295,"458,000",3 ,2 ,990,2d,2014,2020-07-15 17:14:41.615238
19 Jalan Tenteram,https://www.propertyguru.com.sg/listing/hdb-for-sale-19-jalan-tenteram-22026116,"660,000",3 ,2 ,1128,2d,1999,2020-07-15 17:14:41.615238
137 Jalan Bukit Merah,https://www.propertyguru.com.sg/listing/hdb-for-sale-137-jalan-bukit-merah-22803249,"290,000",2 ,2 ,635,2d,1974,2020-07-15 17:14:41.615238
245 Tampines Street 21,https://www.propertyguru.com.sg/listing/hdb-for-sale-245-tampines-street-21-22391994,"880,000",3 ,3 ,1593,2d,1983,2020-07-15 17:14:41.615238
131 Simei Street 1,https://www.propertyguru.com.sg/listing/hdb-for-sale-131-simei-street-1-22955256,"488,000",3 ,2 ,1119,1d,1987,2020-07-15 17:14:41.615238
406C Fernvale Road,https://www.propertyguru.com.sg/listing/hdb-for-sale-406c-fernvale-road-22957230,"400,000",3 ,2 ,979,2d,2003,2020-07-15 17:14:41.615238
131 Yishun Street 11,https://www.propertyguru.com.sg/listing/hdb-for-sale-131-yishun-street-11-22963156,"288,000",2 ,2 ,796,2d,1984,2020-07-15 17:14:41.615238
976 Jurong West Street 93,https://www.propertyguru.com.sg/listing/hdb-for-sale-976-jurong-west-street-93-22995994,"466,000",3 ,2 ,1302,2d,1988,2020-07-15 17:14:41.615238
606 Clementi West Street 1,https://www.propertyguru.com.sg/listing/hdb-for-sale-606-clementi-west-street-1-21041095,"525,000",3 ,2 ,1280,2d,1978,2020-07-15 17:14:41.615238
12 Taman Ho Swee,https://www.propertyguru.com.sg/listing/hdb-for-sale-12-taman-ho-swee-22407994,"300,000",2 ,1 ,581,2d,1963,2020-07-15 17:14:41.615238
14 Dover Close East,https://www.propertyguru.com.sg/listing/hdb-for-sale-14-dover-close-east-21898416,"860,000",3 ,2 ,1227,2d,1977,2020-07-15 17:14:41.615238
723 Bedok Reservoir Road,https://www.propertyguru.com.sg/listing/hdb-for-sale-723-bedok-reservoir-road-22995211,"470,000",3 ,2 ,1108,2d,1983,2020-07-15 17:14:41.615238
852 Tampines Street 82,https://www.propertyguru.com.sg/listing/hdb-for-sale-852-tampines-street-82-22995595,"455,000",3 ,2 ,1119,2d,1984,2020-07-15 17:14:41.615238
290B Bukit Batok Street 24,https://www.propertyguru.com.sg/listing/hdb-for-sale-290b-bukit-batok-street-24-22541390,"660,000",3 ,2 ,1518,2d,1996,2020-07-15 17:14:41.615238
320 Ang Mo Kio Avenue 1,https://www.propertyguru.com.sg/listing/hdb-for-sale-320-ang-mo-kio-avenue-1-22995513,"470,000",3 ,2 ,1055,2d,1976,2020-07-15 17:14:41.615238
**CHEAP AND GOOD BUY! 135 BISHAN ST 12! **,https://www.propertyguru.com.sg/listing/hdb-for-sale-cheap-and-good-buy-135-bishan-st-12-22243106,"700,000",4 ,2 ,1301,2d,NaN,2020-07-15 17:14:41.615238
470 Segar Road,https://www.propertyguru.com.sg/listing/hdb-for-sale-470-segar-road-22399728,"438,000",3 ,2 ,1184,2d,2000,2020-07-15 17:14:41.615238
513 Hougang Avenue 10,https://www.propertyguru.com.sg/listing/hdb-for-sale-513-hougang-avenue-10-22944814,"579,000",3 ,2 ,1302,2d,1985,2020-07-15 17:14:41.615238
743 Pasir Ris Street 71,https://www.propertyguru.com.sg/listing/hdb-for-sale-743-pasir-ris-street-71-22991411,"590,000",4 ,2 ,1345,2d,1994,2020-07-15 17:14:41.615238
23 Eunos Crescent,https://www.propertyguru.com.sg/listing/hdb-for-sale-23-eunos-crescent-22994417,"520,000",4 ,2 ,1259,2d,1976,2020-07-15 17:14:41.615238
308 Hougang Avenue 5,https://www.propertyguru.com.sg/listing/hdb-for-sale-308-hougang-avenue-5-22722494,"380,000",3 ,2 ,1001,2d,1982,2020-07-15 17:14:41.615238
90 Dawson Road,https://www.propertyguru.com.sg/listing/hdb-for-sale-90-dawson-road-22996214,"868,000",3 ,2 ,939,2d,2015,2020-07-15 17:14:41.615238
336A Anchorvale Crescent,https://www.propertyguru.com.sg/listing/hdb-for-sale-336a-anchorvale-crescent-22996022,"438,000",3 ,2 ,990,2d,2014,2020-07-15 17:14:41.615238
166 Tampines Street 12,https://www.propertyguru.com.sg/listing/hdb-for-sale-166-tampines-street-12-22450193,"470,000",3 ,2 ,1162,2d,1983,2020-07-15 17:14:41.615238
609 Elias Road,https://www.propertyguru.com.sg/listing/hdb-for-sale-609-elias-road-22893864,"670,000",4 ,2 ,1593,2d,1993,2020-07-15 17:14:41.615238
87 Dawson Road,https://www.propertyguru.com.sg/listing/hdb-for-sale-87-dawson-road-22785315,"960,000",2 ,2 ,936,2d,2015,2020-07-15 17:14:41.615238
471B Fernvale Street,https://www.propertyguru.com.sg/listing/hdb-for-sale-471b-fernvale-street-22952981,"550,000",3 ,2 ,1216,2d,2015,2020-07-15 17:14:41.615238
325 Woodlands Street 32,https://www.propertyguru.com.sg/listing/hdb-for-sale-325-woodlands-street-32-22839407,"680,000",5 ,3 ,1625,2d,1993,2020-07-15 17:14:41.615238
608 Hougang Avenue 4,https://www.propertyguru.com.sg/listing/hdb-for-sale-608-hougang-avenue-4-22995488,"400,000",3 ,2 ,1119,2d,1985,2020-07-15 17:14:41.615238
Strathmore Avenue,https://www.propertyguru.com.sg/listing/hdb-for-sale-strathmore-avenue-22975131,"728,000",3 ,2 ,968,2d,2006,2020-07-15 17:14:41.615238
6 Holland Close,https://www.propertyguru.com.sg/listing/hdb-for-sale-6-holland-close-22572787,"330,000",2 ,2 ,700,2d,1973,2020-07-15 17:14:41.615238
376A Hougang Street 32,https://www.propertyguru.com.sg/listing/hdb-for-sale-376a-hougang-street-32-22960095,"485,000",3 ,2 ,990,2d,2015,2020-07-15 17:14:41.615238
229 Bukit Batok East Avenue 3,https://www.propertyguru.com.sg/listing/hdb-for-sale-229-bukit-batok-east-avenue-3-22385051,"376,000",3 ,2 ,1033,2d,1984,2020-07-15 17:14:41.615238
937 Tampines Avenue 5,https://www.propertyguru.com.sg/listing/hdb-for-sale-937-tampines-avenue-5-21928910,"850,000",4 ,3 ,1603,2d,1988,2020-07-15 17:14:41.615238
556 Jurong West Street 42,https://www.propertyguru.com.sg/listing/hdb-for-sale-556-jurong-west-street-42-22153384,"550,000",4 ,3 ,1615,2d,1984,2020-07-15 17:14:41.615238
640 Jurong West Street 61,https://www.propertyguru.com.sg/listing/hdb-for-sale-640-jurong-west-street-61-21191833,"525,000",4 ,2 ,123,4h,1997,2020-07-15 17:14:41.615238
376A Hougang Street 32,https://www.propertyguru.com.sg/listing/hdb-for-sale-376a-hougang-street-32-22960099,"485,000",3 ,2 ,990,2d,2015,2020-07-15 17:14:41.615238
"Cheap, Renovated 4-Room HDB",https://www.propertyguru.com.sg/listing/hdb-for-sale-cheap-renovated-4-room-hdb-22995440,"580,000",3 ,2 ,990,2d,2015,2020-07-15 17:14:41.615238
671A Jurong West Street 65,https://www.propertyguru.com.sg/listing/hdb-for-sale-671a-jurong-west-street-65-22940108,"580,000",4 ,2 ,1323,2d,2000,2020-07-15 17:14:41.615238
163 Stirling Road,https://www.propertyguru.com.sg/listing/hdb-for-sale-163-stirling-road-22046161,"300,000",2 ,1 ,710,2d,1969,2020-07-15 17:14:41.615238
119 Bukit Merah View,https://www.propertyguru.com.sg/listing/hdb-for-sale-119-bukit-merah-view-22342393,"309,000",2 ,2 ,699,2d,1974,2020-07-15 17:14:41.615238
502 Hougang Avenue 8,https://www.propertyguru.com.sg/listing/hdb-for-sale-502-hougang-avenue-8-22326003,"405,000",3 ,2 ,1108,2d,1985,2020-07-15 17:14:41.615238
138A Yuan Ching Road,https://www.propertyguru.com.sg/listing/hdb-for-sale-138a-yuan-ching-road-22867363,"749,999",3 ,2 ,1130,2d,2014,2020-07-15 17:14:41.615238
511 West Coast Drive,https://www.propertyguru.com.sg/listing/hdb-for-sale-511-west-coast-drive-22995957,"400,000",3 ,2 ,990,2d,1977,2020-07-15 17:14:41.615238
524A Tampines Central 7,https://www.propertyguru.com.sg/listing/hdb-for-sale-524a-tampines-central-7-22995368,"638,000",3 ,2 ,1216,2d,2014,2020-07-15 17:14:41.615238
42 Telok Blangah Rise,https://www.propertyguru.com.sg/listing/hdb-for-sale-42-telok-blangah-rise-22954384,"320,000",2 ,1 ,635,2d,1975,2020-07-15 17:14:41.615238
604 Clementi West Street 1,https://www.propertyguru.com.sg/listing/hdb-for-sale-604-clementi-west-street-1-22838624,"655,000",3 ,2 ,1281,2d,1978,2020-07-15 17:14:41.615238
212A Punggol Walk,https://www.propertyguru.com.sg/listing/hdb-for-sale-212a-punggol-walk-22289664,"498,000",3 ,2 ,1001,2d,2013,2020-07-15 17:14:41.615238
67 Marine Drive,https://www.propertyguru.com.sg/listing/hdb-for-sale-67-marine-drive-21953630,"368,000",2 ,1 ,700,2d,1975,2020-07-15 17:14:41.615238
316A Ang Mo Kio Street 31,https://www.propertyguru.com.sg/listing/hdb-for-sale-316a-ang-mo-kio-street-31-22995416,"838,000",3 ,2 ,1184,2d,2005,2020-07-15 17:14:41.615238
112A Depot Road,https://www.propertyguru.com.sg/listing/hdb-for-sale-112a-depot-road-22995413,"720,000",4 ,2 ,1237,2d,2003,2020-07-15 17:14:41.615238
309A Ang Mo Kio Street 31,https://www.propertyguru.com.sg/listing/hdb-for-sale-309a-ang-mo-kio-street-31-22995408,"930,000",3 ,2 ,1184,2d,2005,2020-07-15 17:14:41.615238
86 Dawson Road,https://www.propertyguru.com.sg/listing/hdb-for-sale-86-dawson-road-22995856,"873,000",3 ,2 ,893,2d,2015,2020-07-15 17:14:41.615238
314 Tampines Street 33,https://www.propertyguru.com.sg/listing/hdb-for-sale-314-tampines-street-33-22995404,"700,000",4 ,2 ,1550,2d,1992,2020-07-15 17:14:41.615238
656 Jalan Tenaga,https://www.propertyguru.com.sg/listing/hdb-for-sale-656-jalan-tenaga-22994571,"580,000",4 ,2 ,1356,2d,1995,2020-07-15 17:14:41.615238
748C Bedok Reservoir Crescent,https://www.propertyguru.com.sg/listing/hdb-for-sale-748c-bedok-reservoir-crescent-22995397,"528,000",2 ,2 ,710,2d,2014,2020-07-15 17:14:41.615238
27 Ghim Moh Link,https://www.propertyguru.com.sg/listing/hdb-for-sale-27-ghim-moh-link-22995394,"808,000",3 ,2 ,936,2d,2011,2020-07-15 17:14:41.615238
9 Joo Seng Road,https://www.propertyguru.com.sg/listing/hdb-for-sale-9-joo-seng-road-22963365,"670,000",3 ,2 ,968,2d,2015,2020-07-15 17:14:41.615238
571 Ang Mo Kio Avenue 3,https://www.propertyguru.com.sg/listing/hdb-for-sale-571-ang-mo-kio-avenue-3-22459889,"330,000",2 ,2 ,721,2d,1978,2020-07-15 17:14:41.615238
35 Jalan Bahagia,https://www.propertyguru.com.sg/listing/hdb-for-sale-35-jalan-bahagia-22171450,"250,000",2 ,2 ,603,2d,1971,2020-07-15 17:14:41.615238
550A Segar Road,https://www.propertyguru.com.sg/listing/hdb-for-sale-550a-segar-road-22995391,"420,000",3 ,2 ,968,2d,2014,2020-07-15 17:14:41.615238
12 Holland Avenue,https://www.propertyguru.com.sg/listing/hdb-for-sale-12-holland-avenue-20548674,"550,000",3 ,2 ,699,1d,1974,2020-07-15 17:14:41.615238
313 Shunfu Road,https://www.propertyguru.com.sg/listing/hdb-for-sale-313-shunfu-road-22995620,"628,000",3 ,2 ,92,2d,1984,2020-07-15 17:14:41.615238
406 Jurong West Street 42,https://www.propertyguru.com.sg/listing/hdb-for-sale-406-jurong-west-street-42-21644148,"350,000",3 ,2 ,1140,2d,1983,2020-07-15 17:14:41.615238
524C Pasir Ris Street 51,https://www.propertyguru.com.sg/listing/hdb-for-sale-524c-pasir-ris-street-51-22995377,"538,000",3 ,2 ,1001,2d,2012,2020-07-15 17:14:41.615238
114 Depot Road,https://www.propertyguru.com.sg/listing/hdb-for-sale-114-depot-road-22678729,"620,000",3 ,2 ,1259,2d,1976,2020-07-15 17:14:41.615238
73 Marine Drive,https://www.propertyguru.com.sg/listing/hdb-for-sale-73-marine-drive-22228414,"830,000",3 ,2 ,1291,2d,1977,2020-07-15 17:14:41.615238
124 Simei Street 1,https://www.propertyguru.com.sg/listing/hdb-for-sale-124-simei-street-1-22922576,"500,000",3 ,2 ,1302,2d,1987,2020-07-15 17:14:41.615238
12 Taman Ho Swee,https://www.propertyguru.com.sg/listing/hdb-for-sale-12-taman-ho-swee-22995352,"255,000",2 ,1 ,581,2d,1963,2020-07-15 17:14:41.615238
315B Punggol Way,https://www.propertyguru.com.sg/listing/hdb-for-sale-315b-punggol-way-22934059,"518,000",3 ,2 ,990,2d,2016,2020-07-15 17:14:41.615238
618C Punggol Drive,https://www.propertyguru.com.sg/listing/hdb-for-sale-618c-punggol-drive-22978073,"640,000",3 ,2 ,1270,2d,2011,2020-07-15 17:14:41.615238
807C Chai Chee Road,https://www.propertyguru.com.sg/listing/hdb-for-sale-807c-chai-chee-road-22808789,"660,000",3 ,2 ,1001,2d,2015,2020-07-15 17:14:41.615238
129 Lorong Ah Soo,https://www.propertyguru.com.sg/listing/hdb-for-sale-129-lorong-ah-soo-22995345,"650,000",3 ,3 ,1506,2d,1985,2020-07-15 17:14:41.615238
131 Geylang East Avenue 1,https://www.propertyguru.com.sg/listing/hdb-for-sale-131-geylang-east-avenue-1-22988054,"788,000",4 ,3 ,1571,2d,1986,2020-07-15 17:14:41.615238
440B Fernvale Link,https://www.propertyguru.com.sg/listing/hdb-for-sale-440b-fernvale-link-22163242,"575,000",3 ,2 ,1216,2d,2014,2020-07-15 17:14:41.615238
826 Tampines Street 81,https://www.propertyguru.com.sg/listing/hdb-for-sale-826-tampines-street-81-22886582,"323,000",2 ,2 ,721,2d,1984,2020-07-15 17:14:41.615238
980B Buangkok Crescent,https://www.propertyguru.com.sg/listing/hdb-for-sale-980b-buangkok-crescent-22017031,"418,000",3 ,2 ,1184,2d,2001,2020-07-15 17:14:41.615238
297 Punggol Central,https://www.propertyguru.com.sg/listing/hdb-for-sale-297-punggol-central-21532269,"430,000",3 ,2 ,1184,2d,2002,2020-07-15 17:14:41.615238
24 Bendemeer Road,https://www.propertyguru.com.sg/listing/hdb-for-sale-24-bendemeer-road-22457101,"318,000",2 ,2 ,731,2d,1970,2020-07-15 17:14:41.615238
546B Segar Road,https://www.propertyguru.com.sg/listing/hdb-for-sale-546b-segar-road-22829716,"390,000",3 ,2 ,92,2d,2014,2020-07-15 17:14:41.615238
18B Circuit Road,https://www.propertyguru.com.sg/listing/hdb-for-sale-18b-circuit-road-20595849,"780,000",3 ,2 ,1001,2d,2015,2020-07-15 17:14:41.615238
72 Bedok South Avenue 3,https://www.propertyguru.com.sg/listing/hdb-for-sale-72-bedok-south-avenue-3-22995278,"569,000",3 ,2 ,1323,2d,1977,2020-07-15 17:14:41.615238
445 Sin Ming Avenue,https://www.propertyguru.com.sg/listing/hdb-for-sale-445-sin-ming-avenue-21546701,"955,000",3 ,2 ,2012,2d,1988,2020-07-15 17:14:41.615238
373 Clementi Avenue 4,https://www.propertyguru.com.sg/listing/hdb-for-sale-373-clementi-avenue-4-21224119,"488,000",3 ,2 ,980,2d,1981,2020-07-15 17:14:41.615238
403 Pandan Gardens,https://www.propertyguru.com.sg/listing/hdb-for-sale-403-pandan-gardens-22975951,"365,000",3 ,2 ,1119,2d,1978,2020-07-15 17:14:41.615238
463A Sembawang Drive,https://www.propertyguru.com.sg/listing/hdb-for-sale-463a-sembawang-drive-22833540,"268,000",1 ,1 ,485,2d,2015,2020-07-15 17:14:41.615238
73 Geylang Bahru,https://www.propertyguru.com.sg/listing/hdb-for-sale-73-geylang-bahru-22888001,"280,000",2 ,2 ,645,2d,1973,2020-07-15 17:14:41.615238
86 Dawson Road,https://www.propertyguru.com.sg/listing/hdb-for-sale-86-dawson-road-22959576,"918,000",3 ,2 ,893,2d,2015,2020-07-15 17:14:41.615238
627 Senja Road,https://www.propertyguru.com.sg/listing/hdb-for-sale-627-senja-road-22036249,"526,000",3 ,2 ,1184,2d,2003,2020-07-15 17:14:41.615238
350 Bukit Batok Street 34,https://www.propertyguru.com.sg/listing/hdb-for-sale-350-bukit-batok-street-34-22005990,"325,000",3 ,2 ,902,2d,1986,2020-07-15 17:14:41.615238
4 Marine Terrace,https://www.propertyguru.com.sg/listing/hdb-for-sale-4-marine-terrace-22995534,"380,000",3 ,2 ,818,2d,1974,2020-07-15 17:14:41.615238
807 Chai Chee Road,https://www.propertyguru.com.sg/listing/hdb-for-sale-807-chai-chee-road-22982452,"845,000",2 ,2 ,113,2d,2015,2020-07-15 17:14:41.615238
430B Fernvale Link,https://www.propertyguru.com.sg/listing/hdb-for-sale-430b-fernvale-link-22207318,"429,000",3 ,2 ,990,2d,2013,2020-07-15 17:14:41.615238
80A Telok Blangah,https://www.propertyguru.com.sg/listing/hdb-for-sale-80a-telok-blangah-21317379,"770,000",3 ,2 ,1023,2d,2011,2020-07-15 17:14:41.615238
9 Boon Keng Road,https://www.propertyguru.com.sg/listing/hdb-for-sale-9-boon-keng-road-22283141,"950,000",3 ,2 ,1151,2d,2011,2020-07-15 17:14:41.615238
559 Ang Mo Kio Avenue 10,https://www.propertyguru.com.sg/listing/hdb-for-sale-559-ang-mo-kio-avenue-10-22979854,"350,000",2 ,2 ,882,2d,1979,2020-07-15 17:14:41.615238
53 Chai Chee Street,https://www.propertyguru.com.sg/listing/hdb-for-sale-53-chai-chee-street-22995673,"499,000",3 ,2 ,1302,2d,1980,2020-07-15 17:14:41.615238
549 Hougang Street 51,https://www.propertyguru.com.sg/listing/hdb-for-sale-549-hougang-street-51-22988064,"370,000",3 ,2 ,1108,2d,1990,2020-07-15 17:14:41.615238
261A Punggol Way,https://www.propertyguru.com.sg/listing/hdb-for-sale-261a-punggol-way-22918878,"368,000",2 ,2 ,721,2d,2014,2020-07-15 17:14:41.615238
311C Clementi Avenue 4,https://www.propertyguru.com.sg/listing/hdb-for-sale-311c-clementi-avenue-4-22807766,"1,068,000",3 ,2 ,1130,2d,2015,2020-07-15 17:14:41.615238
311B Clementi Avenue 4,https://www.propertyguru.com.sg/listing/hdb-for-sale-311b-clementi-avenue-4-22410242,"830,000",3 ,2 ,872,2d,2015,2020-07-15 17:14:41.615238
28B Dover Crescent,https://www.propertyguru.com.sg/listing/hdb-for-sale-28b-dover-crescent-22385303,"548,000",2 ,2 ,742,2d,2009,2020-07-15 17:14:41.615238
460 Clementi Avenue 3,https://www.propertyguru.com.sg/listing/hdb-for-sale-460-clementi-avenue-3-22289471,"748,000",3 ,2 ,969,2d,2001,2020-07-15 17:14:41.615238
10 Jalan Batu,https://www.propertyguru.com.sg/listing/hdb-for-sale-10-jalan-batu-18964907,"899,999",5 ,2 ,1528,2d,1986,2020-07-15 17:14:41.615238
310A Punggol Walk,https://www.propertyguru.com.sg/listing/hdb-for-sale-310a-punggol-walk-22944061,"740,000",3 ,2 ,1206,2d,2015,2020-07-15 17:14:41.615238
748A Bedok Reservoir Crescent,https://www.propertyguru.com.sg/listing/hdb-for-sale-748a-bedok-reservoir-crescent-22041733,"660,000",3 ,2 ,936,2d,2014,2020-07-15 17:14:41.615238
509 Ang Mo Kio Avenue 8,https://www.propertyguru.com.sg/listing/hdb-for-sale-509-ang-mo-kio-avenue-8-21830405,"380,000",3 ,2 ,979,2d,1979,2020-07-15 17:14:41.615238
116 Jurong East Street 13,https://www.propertyguru.com.sg/listing/hdb-for-sale-116-jurong-east-street-13-22036677,"585,000",3 ,2 ,1291,2d,1981,2020-07-15 17:14:41.615238
71 Marine Drive,https://www.propertyguru.com.sg/listing/hdb-for-sale-71-marine-drive-22272667,"788,000",3 ,2 ,1184,2d,1975,2020-07-15 17:14:41.615238
266C Punggol Way,https://www.propertyguru.com.sg/listing/hdb-for-sale-266c-punggol-way-22031426,"388,000",3 ,3 ,998,2d,2014,2020-07-15 17:14:41.615238
73 Marine Drive,https://www.propertyguru.com.sg/listing/hdb-for-sale-73-marine-drive-22293962,"790,688",3 ,2 ,1259,2d,1977,2020-07-15 17:14:41.615238
224 Lorong 8 Toa Payoh,https://www.propertyguru.com.sg/listing/hdb-for-sale-224-lorong-8-toa-payoh-22233821,"535,000",3 ,2 ,1280,2d,1975,2020-07-15 17:14:41.615238
129 Lorong Ah Soo,https://www.propertyguru.com.sg/listing/hdb-for-sale-129-lorong-ah-soo-22095432,"635,000",3 ,3 ,1506,2d,1985,2020-07-15 17:14:41.615238
196C Punggol Field,https://www.propertyguru.com.sg/listing/hdb-for-sale-196c-punggol-field-22943700,"460,000",3 ,2 ,1184,2d,2000,2020-07-15 17:14:41.615238
723 Woodlands Avenue 6,https://www.propertyguru.com.sg/listing/hdb-for-sale-723-woodlands-avenue-6-22995851,"410,000",3 ,2 ,1301,2d,1996,2020-07-15 17:14:41.615238
22 Eunos Crescent,https://www.propertyguru.com.sg/listing/hdb-for-sale-22-eunos-crescent-22918767,"485,000",3 ,2 ,1323,2d,1976,2020-07-15 17:14:41.615238
233 Bain Street,https://www.propertyguru.com.sg/listing/hdb-for-sale-233-bain-street-21625393,"699,000",3 ,2 ,882,2d,1979,2020-07-15 17:14:41.615238
92 Dawson Road,https://www.propertyguru.com.sg/listing/hdb-for-sale-92-dawson-road-22995157,"838,000",3 ,2 ,893,2d,2015,2020-07-15 17:14:41.615238
501 Ang Mo Kio Avenue 5,https://www.propertyguru.com.sg/listing/hdb-for-sale-501-ang-mo-kio-avenue-5-22995155,"510,000",3 ,3 ,1302,2d,1980,2020-07-15 17:14:41.615238
331 Ang Mo Kio Avenue 1,https://www.propertyguru.com.sg/listing/hdb-for-sale-331-ang-mo-kio-avenue-1-22875286,"310,000",2 ,2 ,747,2d,1979,2020-07-15 17:14:41.615238
337 Ang Mo Kio Avenue 1,https://www.propertyguru.com.sg/listing/hdb-for-sale-337-ang-mo-kio-avenue-1-22995153,"460,000",3 ,2 ,1054,2d,1981,2020-07-15 17:14:41.615238
526 Bedok North Street 3,https://www.propertyguru.com.sg/listing/hdb-for-sale-526-bedok-north-street-3-22953895,"280,000",2 ,2 ,721,2d,1978,2020-07-15 17:14:41.615238
188 Punggol Central,https://www.propertyguru.com.sg/listing/hdb-for-sale-188-punggol-central-22249744,"499,000",2 ,2 ,1184,2d,2003,2020-07-15 17:14:41.615238
747B Bedok Reservoir Crescent,https://www.propertyguru.com.sg/listing/hdb-for-sale-747b-bedok-reservoir-crescent-22961450,"810,000",4 ,2 ,1130,2d,2014,2020-07-15 17:14:41.615238
Blk 307B Ang Mo Kio Avenue 1,https://www.propertyguru.com.sg/listing/hdb-for-sale-blk-307b-ang-mo-kio-avenue-1-22783843,"638,888",3 ,2 ,1022,2d,NaN,2020-07-15 17:14:41.615238
651 Woodlands Ring Road,https://www.propertyguru.com.sg/listing/hdb-for-sale-651-woodlands-ring-road-22956903,"388,000",3 ,2 ,1001,2d,1997,2020-07-15 17:14:41.615238
216 Marsiling Lane,https://www.propertyguru.com.sg/listing/hdb-for-sale-216-marsiling-lane-21624366,"360,000",3 ,2 ,1270,2d,1980,2020-07-15 17:14:41.615238
306 Shunfu Road,https://www.propertyguru.com.sg/listing/hdb-for-sale-306-shunfu-road-22138275,"430,000",2 ,2 ,818,2d,1984,2020-07-15 17:14:41.615238
679C Punggol Drive,https://www.propertyguru.com.sg/listing/hdb-for-sale-679c-punggol-drive-22954391,"699,000",3 ,2 ,1216,2d,NaN,2020-07-15 17:14:41.615238
Parc Lumiere,https://www.propertyguru.com.sg/listing/hdb-for-sale-parc-lumiere-22960362,"747,000",3 ,2 ,1184,2d,NaN,2020-07-15 17:14:41.615238
524A Pasir Ris Street 51,https://www.propertyguru.com.sg/listing/hdb-for-sale-524a-pasir-ris-street-51-22946634,"640,000",3 ,2 ,1216,2d,2014,2020-07-15 17:14:41.615238
596C Ang Mo Kio Street 52,https://www.propertyguru.com.sg/listing/hdb-for-sale-596c-ang-mo-kio-street-52-22946161,"620,000",3 ,2 ,968,2d,2000,2020-07-15 17:14:41.615238
138C Yuan Ching Road,https://www.propertyguru.com.sg/listing/hdb-for-sale-138c-yuan-ching-road-22943084,"636,000",3 ,2 ,957,2d,2014,2020-07-15 17:14:41.615238
91 Dawson Road,https://www.propertyguru.com.sg/listing/hdb-for-sale-91-dawson-road-22749389,"850,000",3 ,2 ,893,2d,2015,2020-07-15 17:14:41.615238
210 Ang Mo Kio Avenue 3,https://www.propertyguru.com.sg/listing/hdb-for-sale-210-ang-mo-kio-avenue-3-22995102,"488,000",3 ,2 ,983,2d,1976,2020-07-15 17:14:41.615238
40 Bedok South Road,https://www.propertyguru.com.sg/listing/hdb-for-sale-40-bedok-south-road-22550385,"325,000",2 ,2 ,720,2d,1977,2020-07-15 17:14:41.615238
86 Telok Blangah Heights,https://www.propertyguru.com.sg/listing/hdb-for-sale-86-telok-blangah-heights-22628454,"750,000",3 ,2 ,1184,2d,2001,2020-07-15 17:14:41.615238
109 Aljunied Crescent,https://www.propertyguru.com.sg/listing/hdb-for-sale-109-aljunied-crescent-22995830,"320,000",2 ,1 ,642,2d,1986,2020-07-15 17:14:41.615238
32 Jalan Bahagia,https://www.propertyguru.com.sg/listing/hdb-for-sale-32-jalan-bahagia-22995335,"230,000",2 ,2 ,613,2d,1963,2020-07-15 17:14:41.615238
209A Punggol Place,https://www.propertyguru.com.sg/listing/hdb-for-sale-209a-punggol-place-22995050,"450,000",3 ,2 ,990,2d,2013,2020-07-15 17:14:41.615238
95 Bedok North Avenue 4,https://www.propertyguru.com.sg/listing/hdb-for-sale-95-bedok-north-avenue-4-22995055,"388,000",3 ,2 ,990,2d,1978,2020-07-15 17:14:41.615238
204 Ang Mo Kio Avenue 3,https://www.propertyguru.com.sg/listing/hdb-for-sale-204-ang-mo-kio-avenue-3-22995065,"480,000",3 ,2 ,990,2d,1976,2020-07-15 17:14:41.615238
149 Mei Ling Street,https://www.propertyguru.com.sg/listing/hdb-for-sale-149-mei-ling-street-22639278,"938,000",4 ,3 ,1582,2d,1993,2020-07-15 17:14:41.615238
436 Ang Mo Kio Avenue 10,https://www.propertyguru.com.sg/listing/hdb-for-sale-436-ang-mo-kio-avenue-10-22995027,"450,000",3 ,2 ,990,2d,1978,2020-07-15 17:14:41.615238
91 Dawson Road,https://www.propertyguru.com.sg/listing/hdb-for-sale-91-dawson-road-22972829,"860,000",3 ,2 ,893,2d,2015,2020-07-15 17:14:41.615238
530A Pasir Ris Drive 1,https://www.propertyguru.com.sg/listing/hdb-for-sale-530a-pasir-ris-drive-1-22620354,"700,000",3 ,2 ,914,2d,2015,2020-07-15 17:14:41.615238
11 Pine Close,https://www.propertyguru.com.sg/listing/hdb-for-sale-11-pine-close-22916724,"675,000",3 ,2 ,914,2d,1998,2020-07-15 17:14:41.615238
633C Senja Road,https://www.propertyguru.com.sg/listing/hdb-for-sale-633c-senja-road-22995001,"425,000",3 ,2 ,1001,2d,2012,2020-07-15 17:14:41.615238
314 Tampines Street 33,https://www.propertyguru.com.sg/listing/hdb-for-sale-314-tampines-street-33-22942319,"700,000",4 ,2 ,1550,2d,1992,2020-07-15 17:14:41.615238
53 Geylang Bahru,https://www.propertyguru.com.sg/listing/hdb-for-sale-53-geylang-bahru-22620342,"520,000",3 ,2 ,129,2d,1974,2020-07-15 17:14:41.615238
530B Pasir Ris Drive 1,https://www.propertyguru.com.sg/listing/hdb-for-sale-530b-pasir-ris-drive-1-22977375,"710,000",3 ,2 ,926,2d,2015,2020-07-15 17:14:41.615238
88 Dawson Road,https://www.propertyguru.com.sg/listing/hdb-for-sale-88-dawson-road-22637655,"860,000",3 ,2 ,893,2d,2015,2020-07-15 17:14:41.615238
